Naam,Website,Plaats,Adres,Postcode,Lid sinds,Sectoren,Regios,Marktgroepen
Elitas Nursing Academy,www.elitasnursingacademy.nl,Nieuwegein,Archimedesbaan 13,3439 ME ,2022-05-30,,,
Elsden training,www.elsden.nl,Almere,"Camerastraat, 23 ",1322BB,2020-12-02,,,
Elycio Talen BV,www.elyciotalen.nl,Rijswijk,De Bruyn Kopsstraat 15 G,2288 EC,2025-06-10,,,
EMDR Kind en Jeugd ,www.emdrkindenjeugd.nl,Oegstgeest ,Jacob van Maerlantlaan 23,2343 JX ,2022-08-26,,,
ENVOZ,www.envoz.nl,BARENDRECHT,Donk 7A,2991 LE,2008-11-04,,,
Esoterra B.V.,www.esoterra.nl,BILTHOVEN,P.C. Staalweg 50,3721 TJ,2021-10-19,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Essenburgh Group B.V.,www.essenburgh.com,Harderwijk,Ceintuurbaan 2-40,3847 LG,2023-07-20,,,
Essenzo Business School,www.essenzo.nu,GOUDA,Burg. V. Reenensingel 101,2803 PA,2018-02-26,,,
Estasi Trainingen,www.estasi.nl,ERMELO,De Driesten 20,3851 DV,2014-12-04,,,
Esthetica  Bedrijfsopleidingen BV,www.esthetica.nl,BREDA,Hambroeklaan 1,4822 ZZ,2021-05-04,,,
Esthetica Opleidingen,www.esthetica.nl,Breda,Hambroeklaan 1, 4822 ZZ,2022-01-14,,,
EuroCollege Management School,www.eurocollege.nl,ROTTERDAM,Westblaak 139,3012 KJ,2003-10-01,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,,
EVC Centrum Nederland B.V.,www.evc-nederland.nl,HILVERSUM,Marathon 7,  1213 PD,2017-05-22,,,
Examenadviesburo B.V.,https://www.examenadviesburo.nl,Nieuwegein,Fultonbaan 80,3439 NE,2021-05-03,,,
Excellent Trainingen ,www.excellenttrainers.nl,APELDOORN,Gardenierslaan 3,7314 CS,2020-10-10,,,
ExplainiT Special Accounts BV,www.explainit.nl,Hengelo,John Maynard Keynesstraat 351,7559 SV,2023-07-20,,,
Extra Trainers,www.extratrainers.nl,Almere,Zinkstraat 1d,1362 JX,2022-02-11,,,
F.L.A.I.R. Scholingstrajecten,www.flairscholing.nl,EMMEN,Nieuw Amsterdamsestraat 40,7814 VA,2006-08-01,,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Fabius Opleidingen,www.fabiusopleidingen.nl,OOSTERHOUT,Dillehof 1,4907 BG,2010-03-02,,,
Facefacts,www.facefactsacademy.nl,Arnhem,Utrechtsestraat 5,6811 LS,2022-04-04,,,
Faculty of Skills (handelsnaam We are Robin),www.faculty.nl,UTRECHT,Hooghiemstraplein 152,3514 AZ,2020-09-28,,,
Fairfield,www.fair-field.nl,EINDHOVEN,Luchthavenweg 81,5657 EA,2017-12-01,,,
Fast Lane Benelux BV,www.flane.nl,Utrecht ,Burgemeester Verderlaan 11B,3544AD,2021-03-26,,,
Fast Lane Nederland BV,www.fastlane.nl,Utrecht,Burgermeester Verderlaan 11,3544 AD,2022-06-13,,,
FBTA,www.fbta.nl,NUNSPEET,Brinkersweg 18,8071 GT,2015-06-03,,,
Feedback Learning & Development B.V.,www.feedbackconsulting.nl,Klundert,Kerkring 21,4791 HG,2026-04-23,,,
Feedback Training & Consulting bv,www.feedbackconsulting.nl,Klundert,Kerkring 21,4791 HG,2021-09-01,,,
FiAC,www.fiac.nl,NOORDWIJKERHOUT,Gieterij 50,2211 XK,2010-06-03,,,
Finance Ideas Academy,www.fi-academy.nl,LELYSTAD,Pascallaan 68F,8218 NJ,2014-07-17,,,
Fintastic Media Group B.V,www.madelonvos.nl,Amsterdam ,Herengracht 449A,1017 BR,2022-06-13,,,
Firda voor Volwassenen B.V.,www.firda.nl/volwassenenonderwijs,Leeuwarden,De Eenhoorn 4,8932 NX,2022-02-07,,,
FIRSTT Opleidingen,https://firstt.nl,Stellendam,Korteweg 4,3251 LE,2022-05-17,,,
Fiscaal Studie- en documentatie Centrum ,https://www.fsdc.nl ,Loenen ,Hoofdweg 115,7371 GG,2023-01-02,,,
Flux Groep B.V.,https://academy.flux.nl/,AMSTERDAM,Krijn Taconiskade 282,1087 HW,2020-10-13,,,
Focus Academy,www.focusacademy.com,Amsterdam ,Haarlemmerweg 317-G,1051 LG,2022-09-15,,,
FOI B.V.,www.foi.nl,Bilthoven,Rembrandtlaan 1B,3723 BG,2024-01-01,,,
Forsa Advies,www.forsa-advies.nl,Rijswijk,Laan van Zuid Hoorn 31,2289 DC,2022-02-15,,,
FP&P Leiderschap en Organisatieontwikkeling BV ,https://www.fpnp.nl ,Driebergen- Rijsenburg,Hoofdstraat 71,3971 KD,2023-01-02,,,
FP&P Onderhandelen BV,www.onderhandelen.fpnp.nl,Driebergen- Rijsenburg,Hoofdstraat 71,3971 KD,2023-01-02,,,
Frankwatching,https://www.frankwatching.com,Utrecht,Atoomweg 1,3542AA,2021-03-26,,,
Freestyle Academy (Emiel Voest),www.freestyleacademy.nl,Ruinerwold,Wolddijk 50,7961 NC,2022-04-18,,,
Freia Holding,www.freia.nl,GRONINGEN,Laan Corpus den Hoorn 300,9728 JT,2024-01-01,,,
Frits Philips & partners Jr. BV,www.fpnp.nl,Driebergen- Rijsenburg,Hoofdstraat 71,3971 KD ,2022-06-13,,,
Furca B.V.,https://furca.nl,Dordrecht,Krommedijk 69,3312 CE,2024-11-18,,,
GBT Opleidingen BV (vh Gilde bt),www.gilde-bt.nl,VENLO,Venrayseweg 32,5928 NZ,2018-08-15,,,
Gelders Opleidingsinstituut,www.geldersopleidingsinstituut.nl,ARNHEM,Willem Pijperstraat 21,6815 AV,2005-03-14,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Geo-ICT Training Center,www.geo-ict.nl,Apeldoorn ,Wapenrustlaan 11-31,7321 DL,2021-11-29,,,
"Gerben Bergsma Training, Advies en innovatie",www.gerbenbergsma.nl,LEEUWARDEN,Huizumerlaan 16,8934 BH,2011-01-12,,,
GetCertified Opleidingen,www.getcertified.nl,ARNHEM,Velperweg 160,6824 MD,2018-01-01,,,
GITP Ontwikkeling BV (vh training en opleiding),www.gitp.nl,ROTTERDAM,Oostmaaslaan 53,3063 AN,2013-01-01,,,
GITP Training & Opleiding BV,www.gitp-ontwikkeling.nl ,Utrecht ,Postbus 2182,3500 GD,2021-09-23,,,
Global Education Services Netherlands BV,www.uibs.org,AMSTERDAM,Weteringschans 28,1017 SG ,2015-12-28,,,
Global Knowledge Network Netherlands BV,https://www.globalknowledge.com/nl-nl,Nieuwegein,Iepenhoeve 5,3438 MR,2021-01-07,,,
Global TC Group,https://globaltcgroup.nl,Zaandijk,Lagedijk 60,1544 BH,2025-09-04,,,
Globi,https:// globi.nl,Utrecht,Maliebaan 92,3581 CX,2023-03-01,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
GO B.V.,http://goopleidingen.nl,VOORBURG,Charlotte van Pallandtlaan 18,2272 TR,1995-04-24,,,
GOC,www.goc.nl,Breukelen,De Corridor 5,3621 ZA ,2011-10-01,,,
GOmotive,http://www.gomotive.nl,Duiven,Impact 57,6921 RZ,2012-05-01,,,
Gooiconsult Academie,www.gooiconsult.nl,Utrecht,2e Korte Baanstraat 7,3581 BZ,2013-01-01,,,
Gortcoaching opleidingen B.V.,www.gortcoaching.nl,Naarden,Pater Wijnterlaan 16-14,1412 GM,2022-02-07,,,
Graafschap Opleidingen,https://www.graafschapcollege.nl,Doetinchem,JF Kennedylaan 49,7001 EA,2022-05-10,,,
Grafische Cursussen | Option One,https://www.grafischecursussen.nl,Amsterdam,Sem Presserhof 108,1087 JG,2022-02-22,,,
Groene Veluwe b.v.,www.groeneveluwe.nl,Epe,Tongerenseweg 116,8162 PP,2023-01-02,,,
Gundelach Organisatieadvies B.V.,www.gundelach.nl,Den Haag,"Zeestraat 100, Z3-4",2518 AD,2023-08-16,,,
Haarlem Institute for Higher Education BV,srh-haarlem-campus.com,Haarlem,Koepelplein 1c,2031 WL,2024-10-14,,,
Habeo+ (vh Avans+),https://habeoplus.nl/,BREDA,Claudius Prinsenlaan 140,4818 CP,2009-02-01,,,
Haka Content B.V.,www.ambinex.nl,Groot- ammers,Schoonhovense veer 19,2964 GB,2021-09-21,,,
HaKa HBO B.V.,,Groot-Ammers,Schoonhovenseveer 19,2964 GB,2024-07-16,,,
Haka MBO B.V.,,Groot- ammers,Schoonhovense veer 19,2964 GB ,2021-09-21,,,
HaKa Nederland B.V.,,Sliedrecht,Stationspark 827,3364 DA,2018-08-15,,,
Hamrah ,www.hamrah.nl,Rotterdam ,Zuidplein 14,3083 CW,2022-08-25,,,
Handelsnaam van NTI B.V.,www.schrijversacademie.nl,LEIDEN,Schipholweg 1,2316 XC,2013-09-03,,,
hbo A&A,www.hboaa.nl,Almere ,Transitorstraat 7,1322 CJ,2015-07-21,,,
HBO Academy,www.hbo-academy.nl,Hilversum,Arena 301 - kamer nr E114,1213 NW,2012-07-27,,,
HDGM,www.hdgm.nl,WOUWSE PLANTAGE,Bleijdenhoeksestraat 3,4725 SW,2019-01-23,,,
Helder & van Pas Opleidingen,www.heldervanpas.nl,Spannum,Tsjerkebuorren 10  ,8843 KE,2020-12-02,,,
Helder Groep Veenendaal B.V.,https://www.wijzijnhelder.nl,Veenendaal,Eikenlaan 5,3901 XA,2025-03-13,,,
Helix Academy,www.helixacademy.nl,Gouda,Zuidelijk Halfrond 4,2801 DD,2021-03-12,,,
Het Effectieve Werken B.V.,www.heteffectievewerken.nl,Tubbergen,Velduil 10,7651 GM,2022-06-28,,,
Het NLP instituut,www.hetnlpinstituut.nl,Amsterdam ,IJsbaanpad 11,1076 CV,2022-05-31,,,
Het Spring Instituut B.V.,www.springinstituut.nl,Ede,Galvanistraat 1,6716 AE,2026-02-26,,,
hihaho interactive video,www.hihaho.nl,ASSEN,Kloekhorststraat 29,9401 BB,2018-01-01,Inburgering,,
HOBP Holding BV,hobp.nl,BREDA,Liesboslaan 57,4813 EB,2020-06-25,,,
Hodac/ Cadix,www.cadix.nl,Drachten,Amperelaan 1 ,9207AM,2020-11-01,,,
Hogeschool Dirksen,www.dirksen.nl,ELST,Nijverheidsweg 21,6662 NG,1995-04-24,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Hogeschool NOVI,www.novi.nl,UTRECHT,Newtonlaan 247 ,3584 BH ,2012-07-01,,,
Hogeschool TIO/TIO College,www.tio.nl,Hilversum,Marathon 7,1213 PD,1995-04-24,,,
Hogeschool voor Toegepaste Filosofie,www.hogeschoolvoortoegepastefilosofie.nl,UTRECHT,Vondellaan 174,3521 GH,2014-09-01,,,
Holland Opleidingen BV,https://www.hollandopleidingengroep.nl ,Steenwijk ,De Vesting 11,8332 GL,2023-01-30,,,
Home of Impact ,www.homeofimpact.nl,Berkel en Rodenrijs,Zuidersingel 4A,2651 AJ,2022-09-26,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Hondentrimopleiding,www.span-info.nl,Ermelo,Eendenparkweg 49A,3852 LG,2022-04-04,,,
Horizon Trainingen,https://horizontraining.nl/,Groningen,Laan Corpus den Hoorn 300,9728 JT,2021-02-03,,,
Horizon Trainingen ll B.V.,https://horizontraining.nl/,Groningen,Laan Corpus den Hoorn 300,9728 JT,2022-01-31,,,
HorizonTaal,https://horizontaal.nu/,DEN HAAG,Calandstraat 1,2521 AD,2020-04-10,,,
Hormoon Community Nederland ,www.opleidinghormonen.nl,Rotterdam ,Haltewachter 18,3034 KE,2022-11-23,,,
Hout Support,www.houtsupport.nl,Tuitjenhorn,Oostwal 2,1747 EZ,2022-05-25,"Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg; (Zakelijke) dienstverlening; Agrarisch en groen; Autobranche; Beveiliging; Coaching; Cultuur, sport en recreatie; Cybersecurity; Economisch- administratief; EVC; Exameninstituten; Financiële dienstverlening; Groothandel; Industrie – Techniek; IT; Klantcontact; Klimaat; Laaggeletterdheid; Learning & Development; Leiderschap; Online leren; Overheid; Persoonlijke effectiviteit; Schoonmaak; Sociaal werk, jeugdzorg en kinderopvang; Talen - NT2; Thuis zorgverpleging en/of medisch en/of alternatieve zorg; Transport en logistiek",Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
HQ Werkmaatschappij B.V.,https://hqwerkmaatschappij.nl,Rotterdam,Beursplein 37,3011 AA,2023-10-16,,,
Huisdier Kennis Instituut,www.huisdierkennis.nl,Bunnik,Regulierenring 11,3981 LA,2010-04-29,,,
Human & Horse Academy,www.humanhorseacademy.com,Kootwijkerbroek,Harskampeerweg 22,3774 JP,2022-03-22,,,
HypnoseMentor,https://hypnosementor.nl,Oosterhout,Hoevestein 12,4903 SC,2022-02-07,Inburgering,,
I AM College BV,http://www.iamcollege.nl,AMSTERDAM,Aambeeldstraat 10,1021 KB,2017-04-10,,,
i4healthcare B.V.,https://i4healthcare.nl/,Tiel,Biezenwei 23,4004 MB,2024-07-08,,,
IAM Studios B.V.,https://www.stemacteren.nl,Breda,Donauweg 10,1043 AJ,2022-05-10,,,
Iber Lengua Taal & Cultuur,www.iberlengua.nl,HAARLEM,A. Hofmanweg 5A,2013 BH,2009-06-01,,,
IBHS,www.ibhs.nl,Amsterdam,Prinsengracht 701,1017 JV,2025-02-21,,,
Icademy,www.icademy.nl,ASSEN,Kloekhorststraat 29,9401 BB,2011-10-01,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
ICM Opleidingen & Trainingen,www.icm.nl,UTRECHT,Joseph Haydnlaan 2,3533 AE,2012-06-01,,,
IDcentre,www.id-centre.com,Eindhoven,Luchthavenweg 54,5657 EB,2021-09-08,,,
Idiomas,www.idiomas.nl,Tilburg,Ellen Pankhurststraat 1,5032 MD,2024-10-14,,,
IKEV,www.ikev.nl,Overberg,Zandschulperweg 2,3959 AX,2017-02-28,,,
ILC,www.ilc-talen.nl,VLIJMEN,Wolput 34,5251 CG ,2012-04-16,"Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg; (Zakelijke) dienstverlening; Agrarisch en groen; Autobranche; Beveiliging; Coaching; Cultuur, sport en recreatie; Cybersecurity; Economisch- administratief; EVC; Exameninstituten; Financiële dienstverlening; Groothandel; Industrie – Techniek; IT; Klantcontact; Klimaat; Laaggeletterdheid; Learning & Development; Leiderschap; Online leren; Overheid; Persoonlijke effectiviteit; Schoonmaak; Sociaal werk, jeugdzorg en kinderopvang; Talen - NT2; Thuis zorgverpleging en/of medisch en/of alternatieve zorg; Transport en logistiek",Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
IMC Mensontwikkeling,www.mensontwikkeling.nl,Loosdrecht,Oud Loosdrechtsedijk 9,1231 LN,2022-01-03,,,
IMK Opleidingen,www.imkopleidingen.nl,ALPHEN AAN DEN RIJN,Henry Dunantweg 28,2402 NR,2017-10-17,,,
Impact Training & Advies ,www.impacttrainingenadvies.nl,Almelo,Twentepoort Oost 55A,7607 RG,2021-08-06,,,
Inclufy Academy,https://inclufy.com/academy,,,,2026-05-04,,,
Information Security Academy,www.securityacademy.nl,Woerden,De Bleek 11,3447 GV,2022-03-28,,,
Ingenium B.V.,https://de-opleider.nl,Hengelo,Jan Tinbergenstraat 218,7559 ST,2025-04-15,,,
InMens training en coaching,www.inmenstraining.nl,Wageningen,Industrieweg 21,6702 DR,2022-03-08,,,
Innersteps School voor natuurcoaching BV,www.innersteps.com,Hilversum,Hazenstraat 21,1216 AV,2022-03-14,,,
Insignia Training en Projecten b.v. (handelsnaam Perspective Opleidingen),https://perspective-opleidingen.nl/,Ridderkerk,Florijnstraat 4A,2988 CL,2021-03-26,,,
Instituut Broers,www.instituutbroers.nl,TILBURG,Stappegoorweg 190,5022 DL,2015-11-06,,,
Instituut CAM,www.instituut-cam.nl,Warffum,Westervalge 24,9989 EB,2016-01-04,,,
Instituut Mentoris Opleidingen en Trainingen BV,www.instituutmentoris.nl ,Zutphen,Noorderhavenstraat 49,7202 DD,2021-10-19,,,
Instituut Scire B.V.,https://habeoplus.nl/,BREDA,Claudius Prinsenlaan 140,4818 CP,2026-06-02,,,
Instituut voor Wijsbegeerte (handelsnaam ISVW),www.isvw.nl,LEUSDEN,Dodeweg 8,3832 RD,2010-11-16,,,
Instytut Jezyka Niderlandzkiego ISN,www.instytutisn.nl,Heijningen,Oude Heijningsedijk 189,4749 RE,2026-06-18,,,
INT B.V.,www.intservices.nl,Vlaardingen,James Wattweg 20,3133 KK,2022-03-14,,,
Interbeek Support BV,Https://interbeeksupport.nl,Eibergen,Grotestraat 52,7151 BD,2025-04-15,,,
Interieuracademie Nederland,www.interieuracademie.nl,Doetinchem,Gildenstraat 27,7005 BL,2022-01-12,,,
Intop Zorgsector,www.intopzorgsector.nl,Woerden ,Vijzelmolenlaan 1,3447 GX,2007-11-16,,,
Inventas ,https://inventas.nl,Nuenen,Spegelt 74,5674 CD,2023-08-03,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Inzigd,www.inzigd.nl,Stramproy,Kroonstraat 12A,6039 AE,2022-01-03,,,
IPC Groene Ruimte,https://www.ipcgroen.nl,Arnhem,Koningsweg 35,6816 TG,2022-04-18,,,
IPD Opleidingen,www.ipd-opleidingen.nl,Nieuwegein,Rond Het Fort 38,3439 MK,1995-04-24,,,
IPOL BV,www.ipol.nl,ROTTERDAM,Edmond Hellenraadstraat 100,3067 NT,2025-06-10,,,
IPro Training NL,https://iprotraining.nl/,Den Haag,Binckhorstlaan 36 - Unit C 059,2516 BE,2022-01-31,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
IS-ZO,https://www.tozo-skills.nl/,Beek en Donk,Trentstraat 2a,5741 ST,2023-03-23,,,
ISBW Opleidingen B.V.,www.isbw.nl,HILVERSUM,Marathon 7,1213 PD,2013-09-26,,,
IT Management Group BV ,www.itmg.nl,Den Haag,Lange Vijverberg 4-5,2513 AC,2020-12-02,,,
IT Randsteden,www.it-randsteden.nl,AMERSFOORT,Netwerklaan 42,3821 AG,2020-05-22,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
ITIP school voor leven en werk,www.itip.nl,ZUTPHEN,Marspoortstraat 16,7201 JC,2020-02-14,,,
ITPH Academy GBO B.V.,https://itph-academy.nl/,'t HARDE,Koekoeksweg 3,8084 GN ,2024-02-12,,,
ITV Hogeschool voor Tolken en Vertalen,www.itv-h.nl,UTRECHT,Padualaan 101,3584 CH,1995-04-24,,,
IV Academy,www.iv-experts.com,Veenendaal,Standaardruiter 9 ,3905 PT,2022-04-18,,,
IVA Driebergen,www.iva.nl,DRIEBERGEN,Hogesteeg 2,3972 JT,2000-05-01,,,
IVA Opleidingen,www.ivaopleidingen.nl,UTRECHT,Savannahweg 71c,3542 AW,2022-01-03,,,
IVIO Examenbureau,www.ivio-examenbureau.nl,LELYSTAD,Pascallaan 71,8218 NJ,2008-06-12,,,
IVIO-Opleidingen,https://ivio-opleidingen.nl/,Lelystad,Pascallaan 68,8218 NJ,2012-07-27,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
IVS opleidingen,www.ivsopleidingen.nl,Dordrecht,Spuiweg 105,3311 GT,2020-12-14,,,
IW Achterhoek Rivierenland ,,Didam,Bieslook 24,6942 SG,2022-03-24,,,
IW Nederland,www.iw.nl,Amersfoort,Hardwareweg 15,3821 BL,2022-02-28,,,
"IW Noord, Oost & Flevoland ",www.iwnederland.nl,Apeldoorn,Arnhemseweg 107,7331 BD,2022-03-24,,,
IW Noord-Holland ,www.iwnederland.nl,Heerhugowaard,W.M. Dudokweg 66,1703 DC,2022-03-24,,,
IW Zuid & Midden,www.iwnederland.nl,Breda,Minervum 7051,4817 ZK,2022-03-24,,,
IW Zuid- Holland ,www.iwnederland.nl,Rijswijk,Verrijn Stuartlaan 19 ,2288 EK,2022-03-24,,,
IW Zuid- oost,www.iwnederland.nl,Roermond,Kerkveldlaan 4,6040 KG ,2022-02-28,,,
Ja tegen Nu BV,www.jategennu.nl,Heerlen,Putgraaf 3,6411 GT,2022-02-21,,,
JAR Opleidingen,www.jaropleidingen.nl,Alkmaar,James Wattstraat 8,1871 DC,2005-11-01,,,
JBBX BV,www.jbbx.nl,Den Haag,Laan van Meerdervoort 187,2517 BA,2022-02-04,,,
Jeugdprofessionals Nederland Opleiden,https://www.jeugdprofessionalsnederland.nl/,MEPPEL,Blankestein 410,7943 PH,2017-09-19,,,
Jolange Opleidingen B.V.,www.jolange-opleidingen.nl,Rotterdam ,Piet Cottaarstraat 2,3043 JR,2022-06-13,,,
Kader Academy B.V.,www.kader.nl,Zeist,Dijnselburgerlaan 2,3705 LP,2022-03-11,,,
Kader- en Ondernemersopleiding Bouwbedrijf B.V. (KOB B.V.),https://kob.nl,Zoetermeer,Zilverstraat 69,2718 RP,2023-07-10,,,
Kans Kwadraat,www.kanskwadraat.nl,Utrecht,Herculesplein 25,3584 AA,2021-05-04,,,
Kappersschool van Wetten,www.kappersschoolvanwetten.nl,BEEK EN DONK,Kerkstraat 10,5741 GL,2007-07-01,,,
Kenniscentrum Noodverlichting,https://kenniscentrum.famostar.nl/,VELP,Florijnweg 8,6883 JP,2020-03-10,,,
Kenniscentrum Sociaal Domein Opleiden,www.kenniscentrumsociaaldomein.nl,MEPPEL,Blankenstein 410,7943 PH,2017-09-19,,,
Kenniscentrum veiligheid 365,www.veiligheid365.nl,Breda,Charles Petitweg 11A,4827 HJ,2021-11-01,,,
Keulseweg,www.keulseweg.nl,PIJNACKER,Keulseweg 34,2641 PK,2019-01-01,,,
Kickstart School B.V.,www.kickstartschool.nl,Den Haag,Koninginnegracht 62,2514 AG,2024-02-22,,,
KIKI Training & Coaching,,Bunschoten-Spakenburg,Zuidwenk 78p,3751 CG,2018-03-05,,,
Kinderopvang Academie B.V.,www.kinderopvangacademie.nl,Utrecht ,Euclideslaan 60b,3584 BN,2022-02-21,,,
KinderWijs TV,https://www.kinderwijstv.nl/,Druten,Van Heemstraweg 123a,6651 KH,2020-08-11,,,
King nascholing ,www.kingnascholing.nl,Amsterdam,Czaar Peterstraat 111,1018 SK,2022-05-01,,,
KIOM Opleidingen,www.kiom.nl,Veldhoven,Locht 117,5504 RM,2022-02-11,,,
Kiwa Expert BV,https://www.kiwa.com/nl/nl/markten/opleiding-en-training/ ,Apeldoorn,Wilmersdorf 50,7327 AC,2024-01-01,,,
Kiwa Training,www.kiwa.com,Apeldoorn,Wilmersdorf 50,7327 AC,2021-07-06,,,
Kiwa Training & Development,https://www.kiwa.com/nl/nl/markten/opleiding-en-training/ ,Apeldoorn,Wilmersdorf 50,7327 AC,2023-12-01,,,
Kjenning,www.kjenning.nl,LELYSTAD,Pascallaan 68f,8218 NJ,2010-03-02,,,
Klankpraktijk Sylvia Zijlstra ,https://klankpraktijk.nl,Sneek,Tingietersstraat 8,8601 WJ,2024-02-22,,,
Konijn Meubelmakers t.h.o.d.n. Beemster School voor Meubelmaken ,beemsterschoolvoormeubelmaken.nl,Zuidoostbeemster ,Zuiderweg 52,1461 GD ,2022-11-23,,,
Koops NOVL Beroepsopleidingen ,www.koopsvec.nl,Assen,Van Vlissingenstraat 45a,9403BB,2012-03-05,,,
"KOS, Kappersopleidingen",www.koskappersopleidingen.nl,TILBURG,Insulindeplein 18,5014 BD,1995-04-24,,,
KPE Groep,www.kpe.nl,MAASTRICHT,Bassin 120,6211 AK,2015-03-04,,,
Kronenburgh Beroepsopleidingen,www.kb-opleidingen.nl/,DEN HAAG,Lange Houtstraat 7,2511 CV,2010-08-25,,,
KSG Trainers & Consultants,www.ksgtrainersconsultants.nl,Soest,Vredehofstraat 1B,3761 HA,2013-02-12,,,
KTBA Netherlands,https://www.ktba.com/,KAATSHEUVEL,Horst 12,5171 RA,2015-07-22,,,
Kusters scholing & training ,https://www.kusters-scholing.nl/,,,,2026-02-02,,,
Kyden BV,www.kyden.nl,Hilversum,Oude Amersfoortseweg 125,1212 AA,2024-09-01,,,
L&D Talent Nederland B.V. (vh EMC Advies),www.houseoftalents.nl,Utrecht,Orteliuslaan 855,3528 BE,2012-10-01,,,
Lagant Academy B.V.,www.lagant.eu,AMERSFOORT,Stationsplen 26,3818 LE,2022-02-14,,,
Landelijk Instituut Vertrouwenspersonen,https://www.livp.nl,Amersfoort,Agolweg 15,3821 BG,2022-02-25,,,
Language Helps,www.languagehelps.nl/nl/,Amsterdam,Keizersgracht 391 a,1016 EJ,2023-04-13,,,
Language Institute Regina Coeli,www.reginacoeli.nl,VUGHT,Martinilaan 12,5262 BR,2009-06-01,,,
Language Partners B.V.,www.languagepartners.nl,Rijswijk,De Bruyn Kopstraat 15 G,2288 EC,2025-11-21,,,
Language Switch,www.languageswitch.eu,Vlodrop,Etsberg 18,6063 NH,2021-11-29,,,
Lasconsult opleidingen BV,www.lasconsult.nl,Heerenveen,De Ynfeart 7-209,8447 GM,2025-06-10,,,
Laudius,www.laudius.nl,Venlo,Alerbeemdweg 5,5928 PV,2021-02-10,,,
Laurentius College,www.stewardesscollege.nl,SCHIPHOL,Evert van de Beekstraat 39,1118 CL,2009-11-17,,,
Lean Six Sigma College,www.theleansixcompany.nl,Rotterdam,Van Nelleweg 1,3044 BC,2023-11-01,,,
Lean Six Sigma Partners B.V.,www.leansixpartners.nl,Soesterberg,Rademakerstraat 22,3769 BD,2022-08-31,,,
Learncare Academy,www.learncare.nl,Zeewolde,Gildenveld 24D,3892DG,2017-11-27,,,
Learnit BV,,Amsterdam,Piet Heinkade 1,1019 BR,2021-05-03,,,
Leidse Onderwijsinstellingen B.V. (LOI),www.loi.nl,LEIDEN,Dellaertweg 5G,2316WZ,2020-09-30,,,
Lemion B.V.,www.boom.nl,Amsterdam,Prinsengracht 747,1017 JX,2023-07-20,,,
Lenoir Opleidingen ,www.allesvoorrijinstructeurs.nl,Geleen ,Ministrer Ruysstraat 6,6162 XK ,2022-07-20,,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Lest Best,www.lestbest.nl,UTRECHT,Newtonlaan 215,3584 BH,2019-03-20,,,
Letsel Opleidingen B.V.,https://letselopleidingen.nl/,Utrecht,Europalaan 500,3026 KS,2020-03-24,,,
Lexicon Trainingen,www.lexicon.nl,HAARLEM,Mauritsstraat 1,2011 VN,2012-09-07,,,
Libereaux,www.libereaux.nl,Hengelo,Jan Tinbergenstraat 202,7559 ST,2014-01-01,,,
Lighting Design Academy (handelsnaam Poncius),www.lightingdesignacademy.org,Amersfoort,Grote Haag 11,3811 NH,2022-03-22,,,
Lindenhaeghe B.V.,www.lindenhaeghe.nl,Bilthoven,Rembrandtlaan 1b,3723 BG,2024-01-01,,,
Lindenhaeghe Examens bv,www.lindenhaeghe.nl,Bilthoven,Rembrandtlaan 1B,3723 BG,2021-08-26,,,
Lindenhaeghe International B.V.,www.lindenhaeghe.nl,Bilthoven,Rembrandtlaan 1b,3723 BG,2025-01-01,,,
Lindenhaeghe Opleidingen bv,www.lindenhaeghe.nl,Bilthoven,Rembrandtlaan 1B,3723 BG,2021-08-26,,,
LOC Logistiek OpleidingsCentrum bv,www.locb.nl,Etten- Leur,Hoevenseweg 39-d,4877 LA,2022-03-14,,,
Logavak Opleidingsgroep,www.logavak.nl,AMSTERDAM ZUID-OOST,Spaklerweg 79,1114 AE,2013-08-13,,,
