Aanbieder,Beoordeelt zelf werk van lerenden,Bewijs (citaat + bron),Particulier,Bron particulier,Moeder / groep,Categorie
Nevi,Ja,"Eigen examens en examenreglement: ""Wanneer je je inschrijft voor je examen, ga je akkoord met het examenreglement."" Het praktijkexamen bestaat uit een portfolio en een mondeling examen; per module een individuele examenopdracht die wordt ingeleverd — https://nevi.nl/opleidingen/nevi-2-publiek",Ja,Beroepsvereniging met betaalde opleidingen en examens — nevi.nl/opleidingen,Zelfstandig,"Beroepsvereniging en opleider inkoop, contract- en supply management"
NIA Academie,Ja,"""De examencommissie bestaat uit een gecommitteerde uit de praktijk en uit een docent."" — https://www.nia-academie.nl/over-nia/nia-portfolio-examen-diploma",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Particuliere interieuropleiding met eigen portfolio-examen
NIBE-SVV Opleidingen,Ja,"ESMA Vaardighedenexamen: praktijkcasus met open vragen, beoordeeld tegen een ""Normantwoord"" per ESMA-competentie — https://www.nibesvv.nl/demo-vragen-esma-examens/esma-vaardighedenexamenn-informeren-beleggen-retail",Ja,"Onderdeel van Salta Group, betalende deelnemers, geen publieke bekostiging — https://www.nibesvv.nl/over-nibe-svv",Salta Group (sinds 2014),"Particuliere opleider en exameninstituut financiele dienstverlening (Wft, DSI/ESMA)"
NIVE Opleidingen,Ja,"""Je wordt op twee manieren getoetst: via schriftelijke toetsen en praktijkgerichte opdrachten."" — https://niveopleidingen.nl/opleiding/professional-controller-pc/ ; OER definieert de ""Corrector: degene die een kandidaat beoordeelt op kennis, inzicht en vaardigheden bij schriftelijke examens""",Ja,"NRTO-lid, CPION-erkend, SHBO-diploma",Freia Groep,"Controllersopleidingen (HOFAM, Professional Controller); eigen correctoren en schriftelijke toetsen"
NOVI Hogeschool,Ja,"NVAO-rapport: ""ongeveer 25% schriftelijke theorietoetsen en 75% de praktijkopdrachten"", met vier-ogen principe — https://publicaties.nvao.net/ACCR_009686_24HR-34035_Rapport_2021.pdf",Ja,"Hbo-ICT kost EUR 30.000 totaal, aangewezen instelling zonder bekostiging — https://www.novi.nl/hbo-ict/",Stichting Hoger Onderwijs NOVI / Hogeschool NOVI B.V.,"Privaat hbo (IT), aangewezen instelling (rpho)"
NSO-CNA Leiderschapsacademie,Ja,"NVAO-rapport hbo-ma Educational Management: ""De summatieve toetsen worden beoordeeld met het vier-ogen principe."" — https://publicaties.nvao.net/5a96cc47a5d59_006286%20rapport%20NSO%20hbo-ma%20Educational%20Management.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (1 opleiding),Zelfstandig,"Master schoolleiderschap; deelnemers zijn schoolleiders, dus dubbele ingang"
OntwerpAcademie,Ja,"""De presentatie van je beplantingsadvies met aansluitend een criterium gericht interview met twee examinatoren"" — https://www.ontwerpacademie.nl/examens",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Vakopleiding tuinontwerp en tuinarchitectuur, twee eigen examinatoren"
OSR juridische opleidingen,Ja,"""Het examen bestaat uit een kennistoets en een praktijkassessment."" — https://www.osr.nl/veelgestelde-vragen/",Ja,"NRTO-lid, circa 4.500 juristen per jaar tegen betaling, geen publieke bekostiging vermeld — https://www.osr.nl/over-ons/",Zelfstandig,Particuliere opleider juridische vakopleidingen
PHOV,Ja,"""Toetsing van de modules vindt plaats door middel van opdrachten en tentamens."" en ""Het scriptietraject wordt afgesloten met een presentatie en verdediging van de scriptie."" — https://www.phov.nl/opleiding/hogere-veiligheidskunde/begeleiding-en-toetsing",Ja,"NRTO-lid, betalende inschrijving, geen publieke bekostiging vermeld — https://www.phov.nl/phov/",PHOV B.V.,"Particuliere opleider veiligheidskunde en arbeidshygiene, met scriptietraject"
Salta Group,Ja,"Eindopdrachten ""worden alleen ter correctie voorgelegd aan de beoordelaar van de opleiding en, indien noodzakelijk, aan een tweede beoordelaar"" — https://www.ncoi.nl/vragen/examens-en-afronding.html",Ja,"Commerciele opleidingsgroep, betalende deelnemers, geen rijksbekostiging","Salta Group, moeder van 20+ merken; ingangen NIBE-SVV en SRM","[AL IN CLOSE - Actief, niet koud benaderen] Private opleidingsgroep"
Saxion Next,Ja,"""Deze tweede beoordelaar is een bevoegd docent waarmee de student recent heeft samengewerkt"" — https://publicaties.nvao.net/5af6e37f23ce3_rapport%20SaxionNext%20hbo-ba%20Leraar%20voortgezet%20onderwijs%20van%20de%20tweede%20graad%20regulier.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (32 opleidingen); bevoegd gezag Stichting Saxion,Stichting Saxion (private tak),Private deeltijdtak van Saxion: lerarenopleidingen en deeltijd-bachelors
Schoevers,Ja,"""Het toepassen van het vier-ogenprincipe in de beoordeling van eindwerken."" — https://publicaties.nvao.net/prd/AV-3232_20251118_Rapport_250414%20Rapport%20Officemanagement%20Schoevers%20(1).pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (42 opleidingen),Salta Group / NCOI,"Ad en bachelor officemanagement en communicatie, deeltijd voor werkenden"
Schouten & Nelissen,Ja,"""Heb je de Opleiding tot mediator succesvol afgerond en alle bijbehorende opdrachten ingeleverd die aan de gestelde eisen voldoen? Dan ontvang je het Schouten & Nelissen-diploma."" — https://www.sn.nl/opleidingen/beroepsopleidingen/opleiding-tot-mediator",Ja,"NRTO-lid, particuliere aanbieder",Schouten Company B.V.,Groot particulier trainings- en beroepsopleidingsinstituut (staat in NRTO onder tien rechtspersonen)
Schrijversvakschool,Ja,"""Aan het eind van elk studiejaar beoordeelt de docentenvergadering alle studenten op hun teksten en professionele ontwikkeling."" — https://www.schrijversvakschool.nl/opleiding/selectieenbeoordeling",Ja,"NRTO-lid, particuliere aanbieder",Stichting Continuiteit Schrijversvakschool,Vierjarige schrijfopleiding; docentenvergadering beoordeelt teksten
Scobe Academy,Ja,"""Wanneer beide post-hbo examens en de praktijkopdracht met een voldoende (per onderdeel > 5,5) zijn beoordeeld, ontvang je het Scobe Academy diploma."" — https://scobe.nl/opleidingen/opleiding-planeconomie-vastgoedrecht",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Post-hbo opleider gebiedsontwikkeling en planeconomie
SDO Hogeschool voor Moderne Bedrijfskunde,Ja,"OER 2025-2026 art. 3.6: ""Examinator beoordeelt op basis van vakinhoudelijke kennis de afgenomen examens (...) de examinator wordt aangesteld door de examencommissie"" — https://sdo-hogeschool.nl/wp-content/uploads/2025/11/OER-SDO-Hogeschool-onderwijs-en-examenregeling-2025-2026-BBA-voltijd-20251029.pdf",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"NVAO-geaccrediteerde hbo bedrijfskunde, deeltijd; deelt de OER met IBHS"
SOMT University of Physiotherapy,Ja,"""Bij de masterproef borgt de opleiding de onafhankelijkheid van beoordelen van het eindniveau onder meer door het vier-ogen-principe."" — https://publicaties.nvao.net/prd/AV-2947_20250108_Rapport_20241021%20Definitief%20visitatierapport%205%20masters%20Fysiotherapie%20-%20SOMT%20University%20of%20Physiotherapy.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (7 opleidingen),Zelfstandig,Vijf hbo-masters fysiotherapie voor praktiserende therapeuten
Sound Education,Ja,"""Het resultaat wordt beoordeeld door de leraar en maakt deel uit van het Praktisch Eindexamen."" — https://www.soundeducation.nl/lesprogramma",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Eenjarige opleiding muziekproductie en geluidstechniek, eigen diploma"
SPO Nyenrode (Stichting Pensioen Opleidingen),Ja,"""De kopieen gaan naar twee beoordelaars. Zij beoordelen onafhankelijk van elkaar elk examen."" en ""U bent geslaagd als: (...) U voor de praktijkcasus een 5,5 of hoger behaalt."" — https://www.spo.nl/over-ons/examens-bij-spo/",Ja,"SPO BV, betaalde opleidingen en examens — zelfde bron",Nyenrode Business Universiteit,"Pensioenopleider voor professionals bij pensioenfondsen, verzekeraars en werkgevers"
SRH Haarlem University of Applied Sciences,Ja,"NVAO-rapport B Creative Media (toets na drie jaar, 2025): ""All assessments are designed by examiners, who the Examination Board appoints."" en ""Lecturers share the proposed assessment with another examiner or the Chief Academic Officer and lecturers or members of the Examination Board sit in with assessments to implement the four-eyes principle."" — https://publicaties.nvao.net/prd/AV-2855_20250409_Rapport_Report%20B%20Creative%20Media%20SRH.pdf",Ja,"Particuliere hogeschool, Duitse SRH-groep, sinds september 2022 in NL",SRH Hochschulen (Duitsland),"Engelstalige bachelors Business Psychology, Digital Transformation, Creative Media; modulair een vak tegelijk"
Stichting Beroepsopleiding Notariaat,Ja,"Onderwijs-, Examen- en Vrijstellingenreglement art. 7 lid 2: deelnemers moeten voorbereidende opdrachten inleveren; art. 8 lid 4: ""Beoordelaars zijn de deelnemers zelf, collega-deelnemers waarmee hij/zij samenwerkt en diens trainers en mentor."" — https://beroepsopleidingnotariaat.nl/wp-content/uploads/2024/12/20241204-Onderwijs-Examen-en-Vrijstellingenreglement-VASTGESTELD.pdf",Ja,"Deelnemers en kantoren betalen cursusgeld (art. 10 lid 2, zelfde reglement)","Opgezet door de KNB, uitgevoerd via CPO","Verplichte 3-jarige beroepsopleiding kandidaat-notarissen; deels peer review, deels trainers en mentor"
Stichting HVNA,Ja,"""Gedurende de hele opleiding toetst de HVNA jouw kennis en ervaring met: tentamens, kennistoetsen, casuspresentaties (in groepsverband), verslagen van afgenomen anamneses, werkstukken."" plus reflectiescriptie — https://www.hvna-opleidingen.nl/natuurgeneeskunde/toetsting-en-afstuderen/",Ja,NRTO-lid,Stichting HVNA,"Vierjarige hbo-niveau opleiding natuurgeneeskunde, eigen toetsing, werkstukken, portfolio en scriptie"
Stichting Wateropleidingen,Ja,"""Je sluit de opleiding af met vier toetsen die samen een portfolio vormen (...) een digitaal examen, twee individuele en een groepsopdracht."" — https://www.wateropleidingen.nl/study/basisopleiding-drinkwaterdistributie-2/",Ja,"Onafhankelijke stichting ""opgericht door en voor de watersector"", geen ROC- of hogeschooldochter — https://www.wateropleidingen.nl/over-wateropleidingen/",Zelfstandige stichting,Particuliere vakopleider watersector
Team Academy / Schoolvision,Ja,"""Our program and grading is based on e.g. team activities, assignments, company visits, and presentations."" — https://teamacademy.nl/faq/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"[AL IN CLOSE - Nurturing, niet koud benaderen] NVAO-geaccrediteerde hbo-bachelor ondernemerschap"
The New School for Information Services,Ja,"NVAO-rapport hbo-ba Marketing Communicatie (april 2019): ""The New School heeft in haar toetsbeleid opgenomen dat naast het hanteren van het vier-ogen principe bij het opstellen van toetsen, ook het vier-ogen principe zal worden toegepast bij het beoordelen van gemaakte toetsen."" — https://publicaties.nvao.net/5d384b1d7b3aa_008556%20rapport%20TNS%20hbo-ba%20Marketing%20Communicatie.pdf",Ja,"NVAO-geaccrediteerde particuliere hogeschool, bijzonder kenmerk Bildung",Zelfstandig,Privaat hbo Amsterdam (Marketing Communicatie). Sterkste inhoudelijke fit van de lijst: geschreven plannen worden expliciet gebruikt om de schrijfkwaliteit te beoordelen
Thim van der Laan,Ja,"""De beoordeling van de scripties is een zaak van twee beoordelaars die niet als begeleider bij het traject van het schrijven van de scriptie betrokken zijn geweest."" — https://publicaties.nvao.net/50f3d41b08aca_rapport%20THIM%20hbo-ba%20Fysiotherapie.pdf",Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (3 opleidingen),Thim van der Laan B.V.,"Particuliere fysiotherapie-hogeschool; NL, Zwitserland en Duitsland"
TIAS School for Business and Society,Ja,"NVAO/QANU-rapport Executive Master of Finance and Control: ""Na de tweede bijeenkomst dient het onderzoeksvoorstel door de kringbegeleider en een tweede examinator te worden goedgekeurd."" en ""Verder waardeert het panel dat het vier-ogenprincipe bij zowel de beoordeling van het onderzoeksvoorstel als de thesis wordt gehanteerd."" — https://publicaties.nvao.net/5a3baa8c93757_005654%20rapport%20TIAS%20wo-ma%20Executive%20Master%20of%20Finance%20and%20Control.pdf",Ja,Particuliere wo-business school (Tilburg University en TU Eindhoven),Zelfstandig,"Executive masters (Finance and Control, Marketing, MBA); thesisvolume vrijwel zeker aanwezig, alleen citaat ontbreekt"
TMO Fashion Business School,Ja,"NVAO-rapport uitgebreide opleidingsbeoordeling: ""De scripties zijn goed opgezet, van behoorlijk niveau en thematisch relevant voor de modebranche"" en de toegekende cijfers komen overeen met de oordelen van het panel; eigen Examencommissie en Onderwijs- en examenreglement — https://www.tmo.nl/over-tmo/adviesorganen/",Ja,"Privaat hbo mode en business; European Fashion Business School TMO/Detex B.V., KvK 30234957",Calder Holding / Capabel Onderwijs Groep,"Particuliere hogeschool mode/retail; scriptie in semester 7, eigen examencommissie. Sterke fit"
U-Consultancy,Ja,"""Alle modules worden afgesloten met een examen en portfolio-opdrachten via e-learning (...) een theoretische toets en een eindpresentatie van de eindopdracht voor de examencommissie"" — https://www.uconsultancy.nl/opleidingen/gespecialiseerd-verpleegkundige-dermatologie/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Opleider dermatologie en wondzorg voor zorgprofessionals
University of Applied Sciences Europe (UE Amsterdam),Ja,"NVAO-adviesrapport onder de vorige naam InterCollege Business School: ""Het afstudeertraject wordt beoordeeld door de commissie, bestaande uit de voorzitter van de Examencommissie, de afstudeerbegeleider van ICBS en een extern commissielid."" en ""Docenten beoordelen tijdens een door hun verzorgd opleidingsonderdeel ook de P-competenties en geven daarover feedback aan studenten."" Let op: rapport uit 2010, onder de oude naam — https://publicaties.nvao.net/4dee20df93dda_rapport%20InterCollege%20hbo-ba%20Business%20Administration.pdf",Onbekend,Nog te checken,Global University Systems (24+ instellingen),Privaat hbo business (voorheen Intercollege Business School)
VAPRO,Ja,"Open examenvragen worden door twee onafhankelijke correctoren nagekeken, plus cases en scripties met dubbele beoordeling — https://www.exameninstrumentenmbo.nl/examenleveranciers/vapro",Onbekend,Nog te checken,dyo people solutions (voorheen Arnold Participaties),"Exameninstelling en bedrijfsopleider procestechniek, VAPRO B.V. KvK 27145441"
Variva Edu Academy,Ja,"""Examinering met waarde. De examens sluiten direct aan op situaties uit de beroepspraktijk (...) opdrachten en beoordelingen die aansluiten op de praktijk"" — https://www.variva.nl/onderwijsassistent/ (crebo-erkend, eigen examinatoren en examencommissie)",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Erkende particuliere mbo-opleider kinderopvang, onderwijs en zorg"
Vastgoed Business School,Ja,"""Voor iedere module wordt je kennis individueel of op groepsniveau getoetst door de docent van de betreffende module."" plus eindopdracht en mondelinge verdediging — https://www.vastgoedbs.nl/cursus/opleiding-vastgoedmanagement/",Ja,"EUR 8.995 all-in, CPION-geaccrediteerd post-hbo diploma — zelfde pagina",Zelfstandig,"Post-hbo vastgoedopleider voor vastgoedmanagers bij corporaties, gemeenten en zorg"
Webster University (Leiden),Ja,"Academic Policies Webster University (geldt voor de campus Leiden): ""a thesis committee consisting of three employed faculty members must be established, with a supervisor, reader, and second reader present at the defense. Both the supervisor and reader provide written assessments of the work to the departments prior to scheduling a defense."" — https://www.webster.edu/catalog/current/graduate-catalog/academic-policies.html",Onbekend,Nog te checken,Webster University (VS),Privaat Amerikaans model
Welkin Kinesiologie College,Ja,"""Jaar 4 - Afstuderen & ondernemerschap. Je start je eigen praktijk, doet praktijkonderzoek en schrijft een onderzoeksrapport en rondt af met een eindexamen."" plus ""Intervisie, supervisie, theorietoetsen en competentieverslag"" — https://www.welkinkinesiologiecollege.nl/beroepsopleiding/over-de-opleiding/",Ja,NRTO-lid,Zelfstandig,"Vierjarige beroepsopleiding kinesiologie, eigen toetsen, competentieverslagen en eindexamen"
Winc Academy,Ja,"""To progress to the next module, you complete final assignments that we review."" en ""You will receive clear feedback from an instructor, and together we will create a plan to improve your final project."" — https://www.wincacademy.nl/en/veelgestelde-vragen",Ja,Overgenomen door De Complementair Groep (2 september 2024),De Complementair Groep,"Asynchrone zelfstudieopleider IT, data-analyse en online marketing; zeer kansrijk, opdracht-per-concept model. Citaat nog halen"
WWZ Academie,Ja,"""Bij de WWZ Academie beoordelen Petra en Anja de opdrachten die je instuurt. Een certificaat krijg je als alle opdrachten voldoende zijn gemaakt."" plus ""Deelname aan de Proeve van Bekwaamheid is mogelijk wanneer je alle opdrachten van je opleiding hebt ingeleverd en deze door de docenten akkoord zijn beoordeeld."" — https://wwz-academie.nl/opleidingen/proeve-van-bekwaamheid",Ja,NRTO-lid via Lindenhaeghe Groep,Certify360 EdTech Group (Lindenhaeghe Groep),"Online opleidingen Wmo- en jeugdconsulenten; veel praktijkopdrachten, met de hand nagekeken door twee docenten. Klein maar zuivere fit"
Zorgcampus Rotterdam,Ja,"""dit verzoek zorgvuldig beoordeeld zal worden door de examencommissie"" en ""de herkansingsprocedure van de examencommissie van Zorgcampus"" — https://zorgcampus.nl/aanvraag-derde-kans/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Erkende particuliere mbo-school zorg, eigen OER en examencommissie"
Berghauser Pont Academy,Nee,"Staat in icp.md al onder de uitgesloten uitgevers en kennisbedrijven (marktgroep 7). Losse cursusdagen plus kennisbank. Nuance: eerste leerroute ""Beleidsmedewerker Ruimte"" is inmiddels NLQF 6 geregistreerd, dus over een jaar opnieuw checken — https://berghauserpont.nl/cursussen-en-opleidingen/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Juridische cursussen omgevingsrecht; NLQF 6-leerroute in opbouw, heroverwegen bij groei"
Bit Academy,Nee,"Diplomering ligt bij de partner-ROC, niet bij Bit Academy zelf: ""het ROC van Amsterdam zorgt ervoor dat studenten een officiele mbo-opleiding op niveau 4 afronden"". Zelfde model als de BBV-praktijkopleidingsbedrijven in icp.md marktgroep 4 — https://noorderpoort.nl/over-noorderpoort/verhalen/bit-academy-een-ict-opleiding-maar-dan-anders",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Tech-opleider; mbo-diplomering via partnerinstellingen
Lindenhaeghe,Nee,"Marktleider verplichte Wft-permanente educatie; Lindenhaeghe Examens B.V. is exameninstituut, Wft-examens zijn centrale examens (CDFD/DUO), niet zelf beoordeeld. Nakijkvolume zit bij de zusterlabels (WWZ Academie, NCI, LearnCare) — https://www.nrto.nl/leden/lindenhaeghe-groep-bv/",Ja,NRTO-lid,Certify360 EdTech Group (Capital A),"Wft en PE financiele dienstverlening; als account afgevallen, als moeder-ingang wel relevant"
SBO (Studiecentrum Bedrijf en Overheid),Nee,"Onderdeel van Euroforum, dat in icp.md al is uitgesloten (marktgroep 7: uitgevers en kennisbedrijven met losse trainingsdagen). ""SBO organiseert jaarlijks ruim 200 evenementen voor senior management in de vorm van congressen, studiedagen en workshops"" — https://www.sbo.nl/overons/",Onbekend,Nog te checken,Euroforum BV / Cegos Group (Frankrijk),Congres- en studiedagenorganisator; geen beoordeeld deelnemerswerk
Synergos,Nee,"Blijkt de Nederlandse Vakopleiding voor Haptonomie, geen facilitator-opleiding. Post-hbo haptonomie (CPION/SPHBO, VVH, GAT-register), certificaat ""Haptonomisch Begeleider"". Valt onder de uitgesloten groep zorg/psychologie/postmaster in icp.md marktgroep 10 — https://synergos.nl/vakopleiding/",Ja,NRTO-lid,Zelfstandig,"Post-hbo haptonomie; overgeslagen op de zorg-uitsluiting, net als ISPP en SOMT"
The Lean Six Sigma Company,Nee,"Certificering loopt via externe exameninstanties (LSSA in Nederland, IASSC internationaal), niet via eigen beoordeling. Zie icp.md: examinering bij een externe instantie betekent dat het nakijkbudget daar ligt — https://www.lssa.eu/en/body-of-knowledge/skill-set/lean-six-sigma-black-belt/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Lean Six Sigma belt-trainingen voor professionals
Van Harte & Lingsma,Nee,"Leiderschaps- en communicatietrainingen met een ""Certificaat van deelname""; gewerkt wordt met psychologische testen, oefeningen en ""feedback van trainers en mededeelnemers"", geen beoordeeld schrijfwerk — https://www.springest.nl/van-harte-lingsma/communicatie-interactie-managementvaardigheden-kim",Ja,"NRTO-lid, particuliere aanbieder",Freia Groep,"Leiderschaps- en communicatietrainingen, ervaringsgericht"
