Naam,Website,Plaats,Adres,Postcode,Lid sinds,Sectoren,Regios,Marktgroepen,status,score,pos,neg,signalen
SOMT University of Physiotherapy,www.somt.nl,AMERSFOORT,Softwareweg 5,3821 BN,2014-12-17,,,,ok,5,5,0,+hbo-?bachelor|hbo-?master +diploma
Stichting Breederode Hogeschool,www.breederode.nl,ROTTERDAM,Posthumalaan 120 ,3072 AG ,2016-04-01,,,,ok,5,5,0,+crkbo +diploma +meerdaagse leergang|leerga
Stichting HVNA,www.hvna-opleidingen.nl,Huissen,Julianastraat 17,6851 KJ,2022-07-12,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,5,5,0,+cpion +diploma
Stichting Reklame Rakkers,www.mediaenmaatschappij.nl,Amsterdam,Wildenborch 31,1082 KB,2022-04-14,,,,ok,5,5,0,+examencommissie +crkbo
ToZo-Skills,https://www.tozo-skills.nl/,Beek en Donk,Trentstraat 2a,5741 ST,2023-05-30,,,,ok,5,5,0,+toetsing +diploma
Trainjezelf.nl,https://www.precongroup.nl/training-en-e-learning/,BUNNIK,Regulierenring 16,3981 LB,2014-10-21,,,,ok,5,5,0,+toetsing +beoordeling
Welkin BV,www.welkinkinesiologiecollege.nl,Bilthoven ,Professor Bronkhorstlaan 10G86,3723 MB,2022-08-26,,,,ok,5,8,3,+cpion +crkbo +beoordeling +diploma -eendaagse|1-?daagse|tweeda
Winford College BV,www.winford.nl,UTRECHT,Nieuwegracht 69A,3512 LG,2018-01-01,,,,ok,5,8,3,+toetsing +herkansing +diploma -eendaagse|1-?daagse|tweeda
Zes Boutique,https://www.zes-maastricht.com/education,,,,2026-01-07,,,,ok,5,5,0,+crkbo +leeruitkomsten
 NONONS Opleidingen BV,www.nonons.nl,Amsterdam,Linnaeushof 1-6,1098 KH,2021-10-19,,,,ok,4,4,0,+beoordeling +diploma
5ST3PS,https://www.5st3ps.nl,Rotterdam,Weena 290 - W200,3012 NJ,2022-05-01,,,,ok,4,4,0,+praktijkopdracht
Braint Academy B.V.,www.braint.nl,CASTRICUM,Oude Parklaan 111,1901 ZZ,2020-08-10,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,4,4,0,+eindopdracht
Bureau Tromp BV,www.bureautromp.nl,Utrecht ,Orteliuslaan 850,3528 BB,2022-03-14,,,,ok,4,4,0,+portfolio +meerdaagse leergang|leerga
CIVAS,www.civas.nl,HAARLEM,Spaarne 13,2011 CC,2010-06-22,,,,ok,4,4,0,+beoordeling +studiebelasting
De Laat Kenniscentrum,www.delaatkenniscentrum.nl,Eindhoven,Daalakkersweg 10,5641 JA,2021-01-21,,,,ok,4,4,0,+studiebelasting +diploma
De VerkeersAcademie,www.deverkeersacademie.nl,Nieuwegein,Newtonbaan 2,3439 NK,2021-01-01,,,,ok,4,14,10,+eindopdracht +praktijkopdracht +beoordeling +studiebelasting +diploma -het oranje kruis|certech|i -heftruck|hoogwerker|rijbew
Detex Opleidingen,www.detex.nl,DOORN,Postbus 183,3940 AD,2022-05-12,,,,ok,4,4,0,+diploma +meerdaagse leergang|leerga
Helix Academy,www.helixacademy.nl,Gouda,Zuidelijk Halfrond 4,2801 DD,2021-03-12,,,,ok,4,4,0,+diploma +meerdaagse leergang|leerga
hihaho interactive video,www.hihaho.nl,ASSEN,Kloekhorststraat 29,9401 BB,2018-01-01,Inburgering,,,ok,4,4,0,+praktijkopdracht
IT Randsteden,www.it-randsteden.nl,AMERSFOORT,Netwerklaan 42,3821 AG,2020-05-22,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,4,4,0,+praktijkopdracht
KinderWijs TV,https://www.kinderwijstv.nl/,Druten,Van Heemstraweg 123a,6651 KH,2020-08-11,,,,ok,4,9,5,+nagekeken +crkbo +eindtoets +meerdaagse leergang|leerga -certificaat van deelname|b
LTD TF B.V. ,www.lepaya.nl,Amsterdam,Stephensonstraat 19,1097 BA,2020-12-14,,,,ok,4,4,0,+portfolio +beoordeling
Miraconsult (handelsnaam Academie voor Leven),www.academievoorleven.com,Amsterdam,Olphert Vaillantlaan 34,1086 ZA,2022-03-22,,,,ok,4,4,0,+post-?hbo +crkbo
NIBE-SVV Opleidingen B.V.,www.nibesvv.nl,HILVERSUM,Marathon 7,1213 PD,2011-02-03,,,,ok,4,4,0,+diploma +meerdaagse leergang|leerga
NL Mode Academie,www.nlmodeacademie.nl,Amstelveen,Laan Nieuwer-Amstel 3,1182 JR,2024-10-14,,,,ok,4,4,0,+portfolio +diploma
OCD Opleidingen,https://www.ocdopleidingen.nl/,DEVENTER,Keizerstraat 39,7411 HE,2020-04-30,,,,ok,4,4,0,+leeruitkomsten
Opleidingen 2000 VOF,https://opleidingen2000.nl,Geertruidenberg,Markt 17,4931BR,2022-03-22,,,,ok,4,4,0,+beoordeling +diploma
OVD Beroepsopleidingen,www.ovd-opleidingen.nl,EDE,Galileilaan 31,6716 BP,2017-05-03,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,4,13,9,+praktijkopdracht +toetsing +beoordeling +studiebelasting +diploma -certificaat van deelname|b -eendaagse|1-?daagse|tweeda -incompany training(?!s?pro
OVD Opleidingen,www.ovd-opleidingen.nl,EDE,Galileilaan 31,6716 BP,2017-05-03,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,4,13,9,+praktijkopdracht +toetsing +beoordeling +studiebelasting +diploma -certificaat van deelname|b -eendaagse|1-?daagse|tweeda -incompany training(?!s?pro
Stichting Sioo,www.sioo.nl,Utrecht,Stadsplateau 12,3521 AZ,2021-04-14,,,,ok,4,4,0,+studiebelasting +meerdaagse leergang|leerga
SVOZ opleidingen in de zorg,www.svoz.nl,UTRECHT,Kaap Hoorndreef 44,3563 AV,1999-03-01,,,,ok,4,4,0,+examencommissie
SVS,www.svs-opleidingen.nl,CAPELLE AAN DEN IJSSEL,Rhijnspoor 267,2901 LB,2014-03-19,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,4,4,0,+praktijkopdracht
Tele-Educatie,www.deverkeersacademie.nl,NIEUWEGEIN,Newtonbaan 2,3439 NK,2015-12-09,,,,ok,4,14,10,+eindopdracht +praktijkopdracht +beoordeling +studiebelasting +diploma -het oranje kruis|certech|i -heftruck|hoogwerker|rijbew
VAPRO (holding),www.vapro.nl,Den Haag,"Loire 150 (Castellum, gedeelte C)",2491 AK,2021-02-18,,,,ok,4,4,0,+beoordeling +diploma
Vapro trainingen,www.vapro.nl,DEN HAAG,"Loire 150 (Castellum, gedeelte C)",2491 AK,2020-01-01,,,,ok,4,4,0,+beoordeling +diploma
Vidarte,www.vidarte.nl,Vught,Bosscheweg 2A,5261 AA,2022-04-04,,,,ok,4,4,0,+praktijkopdracht
Volksuniversiteit Breda,www.volksuniversiteit-breda.nl,Breda,Molenstraat 6,4311 GS,2022-10-25,,,,ok,4,4,0,+praktijkopdracht
Arminius Selectie Trainingscentrum,https://arminius-stc.com,Zwolle,Carlbenzstraat 5B,8013 NH,2023-03-27,,,,ok,3,3,0,+crkbo +diploma
Auxilium Academy,www.auxiliumacademy.nl,Lippenhuizen,'t Corso 33,8408 HW,2022-03-14,,,,ok,3,3,0,+post-?hbo
Buddywise (valt onder NHA),www.buddywise.nl,PANNINGEN,Industrieterrein 37,5981 NK,2021-03-01,,,,ok,3,8,5,+eindopdracht +beoordeling +diploma -certificaat van deelname|b
Dagnall Taleninstituut,www.dagnall.nl,ASSEN,Industrieweg 22,9403 AA,2012-01-01,,,,ok,3,4,1,+praktijkopdracht -incompany training(?!s?pro
De Academies B.V.,www.de-academies.nl,Ridderkerk,Kerkweg 128,2985 AW,2022-03-14,,,,ok,3,4,1,+praktijkopdracht -incompany training(?!s?pro
Edu-Dutch Academy B.V.,https://edu-dutch.nl/,,,,2026-06-18,,,,ok,3,3,0,+herkansing
EVC Centrum Nederland B.V.,www.evc-nederland.nl,HILVERSUM,Marathon 7,  1213 PD,2017-05-22,,,,ok,3,4,1,+portfolio +diploma -incompany training(?!s?pro
Forsa Advies,www.forsa-advies.nl,Rijswijk,Laan van Zuid Hoorn 31,2289 DC,2022-02-15,,,,ok,3,12,9,+praktijkopdracht +portfolio +beoordeling +studiebelasting +diploma -certificaat van deelname|b -eendaagse|1-?daagse|tweeda -incompany training(?!s?pro
GO B.V.,http://goopleidingen.nl,VOORBURG,Charlotte van Pallandtlaan 18,2272 TR,1995-04-24,,,,ok,3,6,3,+eindopdracht +meerdaagse leergang|leerga -eendaagse|1-?daagse|tweeda
IDcentre,www.id-centre.com,Eindhoven,Luchthavenweg 54,5657 EB,2021-09-08,,,,ok,3,3,0,+crkbo +beoordeling
IPD Opleidingen,www.ipd-opleidingen.nl,Nieuwegein,Rond Het Fort 38,3439 MK,1995-04-24,,,,ok,3,4,1,+beoordeling +diploma -incompany training(?!s?pro
Jolange Opleidingen B.V.,www.jolange-opleidingen.nl,Rotterdam ,Piet Cottaarstraat 2,3043 JR,2022-06-13,,,,ok,3,3,0,+crkbo +diploma
Lagant Academy B.V.,www.lagant.eu,AMERSFOORT,Stationsplen 26,3818 LE,2022-02-14,,,,ok,3,4,1,+portfolio +beoordeling -incompany training(?!s?pro
Logikos Trainingen,www.logikos.nl,Apeldoorn,Bouwmeestershoeve 49,7326 RM,2020-12-08,,,,ok,3,3,0,+crkbo +studiebelasting
ORGB,www.orgb.nl,Wessem,Van Horneplein 6,6019 BW,2015-03-04,,,,ok,3,3,0,+crkbo +diploma
Studdy BV,studdy.nl,BREDA,Liesboslaan 57,4813 EB,2020-07-21,,,,ok,3,3,0,+crkbo +beoordeling
UvA Talen BV,www.uvatalen.nl,Amsterdam,Roetersstraat 25,1018 WB,2022-03-22,,,,ok,3,3,0,+crkbo +eindtoets
Vitacademie,www.vitacademie.nl,Eindhoven,Beemdstraat 1,5653 MA,2021-08-05,,,,ok,3,3,0,+post-?hbo
Vitalogisch,www.vitalogisch.nl,Eindhoven,Beemdstraat 1,5653 MA,2021-08-05,,,,ok,3,3,0,+post-?hbo
Weddingplanners International,http://www.theweddingplannersinstitute.com,Utrecht,Computerweg 22,3542 DR  ,2022-04-04,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,3,6,3,+leeruitkomsten +diploma -ehbo
Agile Scrum Group BV,https://agilescrumgroup.nl,Amsterdam,H.J.E. Wenckebachweg 123,1096 AM,2022-01-25,,,,ok,2,2,0,+\boer\b
Amsterdam Wine Academy,www.amsterdamwineacademy.com,Amsterdam ,Lutmastraat 91- H,1073 GR,2022-07-20,,,,ok,2,2,0,+diploma
Ardis Organisatie Ontwikkeling,www.ardis.nl,DEN HAAG,Nieuwe Parklaan 105,2587 BP,2017-05-15,,,,ok,2,2,0,+meerdaagse leergang|leerga
Arezoo Beauty College ,www.arezoo.nl,Hoogvliet,Koddeweg 1,3194 DH,2023-01-02,,,,ok,2,2,0,+portfolio
Art2Change BV,www.art2change.nl,Noordwijk aan Zee,Trompstraat 1 d2,2201 KP,2023-03-27,,,,ok,2,2,0,+meerdaagse leergang|leerga
Avicenna Academie voor Leiderschap,www.academievoorleiderschap.nl,Deventer,Zutphenseweg 55,7418 AH,2019-07-29,,,,ok,2,2,0,+meerdaagse leergang|leerga
Belangenbehartiging Opleidingen Bouwnijverheid B.V. (BOB B.V.),https://kob.nl,Zoetermeer,Zilverstraat 69,2718 RP,2024-10-30,,,,ok,2,2,0,+diploma
Boulevard Magenta,www.boulevardmagenta.nl,Laag-Soeren,Cruyshoevelaan 28,6957 AT ,2022-07-27,,,,ok,2,2,0,+portfolio
Bureau VRIS,www.bureauvris.nl,Geesteren,Respelhoek 3,7274 EL,2021-03-17,,,,ok,2,2,0,+beoordeling
Buro Holland,www.buroholland.nl,Deventer,Diepenveenseweg 159,7413 AP,2021-06-10,,,,ok,2,2,0,+diploma
Capabel taal,https://www.capabeltaal.nl/,Utrecht,Australiëlaan 14-16,3526 AB,2012-05-22,,,,ok,2,2,0,+diploma
Code Gorilla,www.codegorilla.nl,Groningen,Laan Corpus den Hoorn 106,9728 JR,2022-03-11,,,,ok,2,2,0,+diploma
CBT,www.cbtresultaatuitopleiden.nl,Velp,Arnhemsestraatweg 362,6881 NK,2021-08-06,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,,,ok,2,2,0,+beoordeling
Communicatiehelden,www.communicatiehelden.nl,Amersfoort,Ruimtevaart 22-24,3824  MX,2022-05-25,,,,ok,2,2,0,+meerdaagse leergang|leerga
Competence Factory,https://www.competencefactory.nl/,UTRECHT,Stationsplein 90,3511 ED ,2018-04-23,,,,ok,2,5,3,+post-?hbo +beoordeling -eendaagse|1-?daagse|tweeda
CS Opleidingen,https://www.cs-opleidingen.nl/?gclid=CjwKCAjwtfqKBhBoEiwAZuesiATL7fga0NjsE-rqkcB0nQaUg0Ng56sEIy1BXT-Xszxtbcfs_XuWFxoCyY8QAvD_BwE,Arnhem,Meester B.M. Teldersstraat 3,6842 CT,2021-11-29,,,,ok,2,2,0,+beoordeling
De Berekuyl B.V.,www.deberekuylacademy.nl,Hierden ,Molenweg 4 ,3849 RM,2023-01-30,,,,ok,2,2,0,+portfolio
De Corporatiestrateeg,www.corporatiestrateeg.nl,NIJMEGEN,Graafseweg 274 (unit 3.07b),6532ZV,2018-09-25,,,,ok,2,5,3,+crkbo +beoordeling +meerdaagse leergang|leerga -eendaagse|1-?daagse|tweeda
De Taaltrainer,https://detaaltrainer.nl/,,,,2026-04-14,,,,ok,2,2,0,+beoordeling
Dental Best Practice BV,www.dentalbestpractice.nl,Deventer (Colmschate),Koggeschip 212,7429 BG,2022-03-08,,,,ok,2,2,0,+meerdaagse leergang|leerga
Digi Surfer BV,https://digisurfer.nl,Amsterdam,Oostenburgermiddenstraat 636,1018 LL,2023-03-27,,,,ok,2,2,0,+diploma
DOC Nederland,www.doc.nl,DOETINCHEM,"Gildenstraat, 27",7005 BL,2022-01-10,,,,ok,2,2,0,+diploma
DogVision bv,https://www.dogvision.nl,Ede,Zandlaan 29,6717 LN,2022-05-03,,,,ok,2,7,5,+crkbo +beoordeling +studiebelasting +diploma -certificaat van deelname|b
E-WISE Nederland, www.pe-academy.nl,Utrecht,Janssoniuslaan 40,3528 AJ,2021-08-06,,,,ok,2,2,0,+portfolio
Educared Erkend Opleiden B.V.,www.educared.nl,Hengelo,Jan Tinbergenstraat 156,7559 SP,2024-02-22,,,,ok,2,2,0,+diploma
Edupet,www.edupet.nl,Lelystad,Bronsweg 11-A,8211 AL,2023-07-20,,,,ok,2,2,0,+beoordeling
Elan Training BV,www.elantraining.nl,Oisterwijk,Moergestelseweg 16,5062 JW,2022-02-21,,,,ok,2,2,0,+meerdaagse leergang|leerga
Essenburgh Group B.V.,www.essenburgh.com,Harderwijk,Ceintuurbaan 2-40,3847 LG,2023-07-20,,,,ok,2,2,0,+portfolio
F.L.A.I.R. Scholingstrajecten,www.flairscholing.nl,EMMEN,Nieuw Amsterdamsestraat 40,7814 VA,2006-08-01,,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,2,2,0,+diploma
Freestyle Academy (Emiel Voest),www.freestyleacademy.nl,Ruinerwold,Wolddijk 50,7961 NC,2022-04-18,,,,ok,2,2,0,+meerdaagse leergang|leerga
GBT Opleidingen BV (vh Gilde bt),www.gilde-bt.nl,VENLO,Venrayseweg 32,5928 NZ,2018-08-15,,,,ok,2,2,0,+diploma
Geo-ICT Training Center,www.geo-ict.nl,Apeldoorn ,Wapenrustlaan 11-31,7321 DL,2021-11-29,,,,ok,2,2,0,+beoordeling
GOC,www.goc.nl,Breukelen,De Corridor 5,3621 ZA ,2011-10-01,,,,ok,2,2,0,+diploma
Graafschap Opleidingen,https://www.graafschapcollege.nl,Doetinchem,JF Kennedylaan 49,7001 EA,2022-05-10,,,,ok,2,2,0,+diploma
Haka Content B.V.,www.ambinex.nl,Groot- ammers,Schoonhovense veer 19,2964 GB,2021-09-21,,,,ok,2,2,0,+beoordeling
Handelsnaam van NTI B.V.,www.schrijversacademie.nl,LEIDEN,Schipholweg 1,2316 XC,2013-09-03,,,,ok,2,2,0,+beoordeling
Helder & van Pas Opleidingen,www.heldervanpas.nl,Spannum,Tsjerkebuorren 10  ,8843 KE,2020-12-02,,,,ok,2,2,0,+meerdaagse leergang|leerga
I AM College BV,http://www.iamcollege.nl,AMSTERDAM,Aambeeldstraat 10,1021 KB,2017-04-10,,,,ok,2,2,0,+diploma
i4healthcare B.V.,https://i4healthcare.nl/,Tiel,Biezenwei 23,4004 MB,2024-07-08,,,,ok,2,2,0,+diploma
Icademy,www.icademy.nl,ASSEN,Kloekhorststraat 29,9401 BB,2011-10-01,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,2,2,0,+meerdaagse leergang|leerga
ILC,www.ilc-talen.nl,VLIJMEN,Wolput 34,5251 CG ,2012-04-16,"Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg; (Zakelijke) dienstverlening; Agrarisch en groen; Autobranche; Beveiliging; Coaching; Cultuur, sport en recreatie; Cybersecurity; Economisch- administratief; EVC; Exameninstituten; Financiële dienstverlening; Groothandel; Industrie – Techniek; IT; Klantcontact; Klimaat; Laaggeletterdheid; Learning & Development; Leiderschap; Online leren; Overheid; Persoonlijke effectiviteit; Schoonmaak; Sociaal werk, jeugdzorg en kinderopvang; Talen - NT2; Thuis zorgverpleging en/of medisch en/of alternatieve zorg; Transport en logistiek",Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,2,2,0,+diploma
Instituut Broers,www.instituutbroers.nl,TILBURG,Stappegoorweg 190,5022 DL,2015-11-06,,,,ok,2,2,0,+diploma
Interieuracademie Nederland,www.interieuracademie.nl,Doetinchem,Gildenstraat 27,7005 BL,2022-01-12,,,,ok,2,2,0,+diploma
ISBW Opleidingen B.V.,www.isbw.nl,HILVERSUM,Marathon 7,1213 PD,2013-09-26,,,,ok,2,2,0,+diploma
IVA Opleidingen,www.ivaopleidingen.nl,UTRECHT,Savannahweg 71c,3542 AW,2022-01-03,,,,ok,2,2,0,+beoordeling
IVIO-Opleidingen,https://ivio-opleidingen.nl/,Lelystad,Pascallaan 68,8218 NJ,2012-07-27,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,2,2,0,+diploma
IVS opleidingen,www.ivsopleidingen.nl,Dordrecht,Spuiweg 105,3311 GT,2020-12-14,,,,ok,2,2,0,+beoordeling
JBBX BV,www.jbbx.nl,Den Haag,Laan van Meerdervoort 187,2517 BA,2022-02-04,,,,ok,2,2,0,+portfolio
Kader- en Ondernemersopleiding Bouwbedrijf B.V. (KOB B.V.),https://kob.nl,Zoetermeer,Zilverstraat 69,2718 RP,2023-07-10,,,,ok,2,2,0,+diploma
Kjenning,www.kjenning.nl,LELYSTAD,Pascallaan 68f,8218 NJ,2010-03-02,,,,ok,2,2,0,+meerdaagse leergang|leerga
Kronenburgh Beroepsopleidingen,www.kb-opleidingen.nl/,DEN HAAG,Lange Houtstraat 7,2511 CV,2010-08-25,,,,ok,2,2,0,+diploma
KSG Trainers & Consultants,www.ksgtrainersconsultants.nl,Soest,Vredehofstraat 1B,3761 HA,2013-02-12,,,,ok,2,2,0,+meerdaagse leergang|leerga
Language Partners B.V.,www.languagepartners.nl,Rijswijk,De Bruyn Kopstraat 15 G,2288 EC,2025-11-21,,,,ok,2,2,0,+diploma
Laudius,www.laudius.nl,Venlo,Alerbeemdweg 5,5928 PV,2021-02-10,,,,ok,2,2,0,+diploma
Master The Mix Academy,www.masterthemix.com,Hilversum,Eemnesserweg 2,121 CT,2021-11-22,,,,ok,2,2,0,+diploma
Mikrocentrum ,www.mikrocentrum.nl,VELDHOVEN,De Run 1115,5503 LB,2015-08-21,,,,ok,2,2,0,+diploma
Mind Academy B.V.,https://www.mindacademy.nl,Heiloo,Laan Eindeloos 13,1851 ZM,2021-11-08,,,,ok,2,7,5,+examencommissie +crkbo +beoordeling -certificaat van deelname|b
Moovs Savant Learning Partners ,www.savantlearningpartners.nl,Amsterdam,Tweede Jan Steenstraat 84H,1074 CR,2022-10-07,,,,ok,2,2,0,+meerdaagse leergang|leerga
Move The Crowd BV,www.movethecrowd.nl,Rotterdam,Olympiaweg 4-14,3077 AL,2021-04-20,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,2,2,0,+diploma
Nationaal Centrum Erfgoedopleidingen,www.erfgoedopleidingen.nl,AMERSFOORT,Klooster Ter Eem - Daam Fockemalaan 22,3818 KG,2019-01-01,,,,ok,2,2,0,+diploma
NHA,www.nha.nl,PANNINGEN,Industrieterrein 37,5981 NK,1995-04-24,,,,ok,2,2,0,+diploma
oCaro BV,https://ocaro.nl/,Loenen,Hoofdweg 74,7371 AK,2024-07-02,,,,ok,2,2,0,+meerdaagse leergang|leerga
OPATEL Opleidingen,www.opatel.nl,ROTTERDAM,Piekstraat 23,3071 EL,2016-06-24,,,,ok,2,2,0,+diploma
Opleidingscentrum Orca,www.oc-orca.nl,Best,De Waal 9,5684 PL,2010-06-03,,,,ok,2,2,0,+studiebelasting
Opleidingsinstituut KMBV (Health & Welfare B.V.),www.kmbv.nl,Deventer,Zutphenseweg 55,7418 AH,2022-03-11,,,,ok,2,2,0,+meerdaagse leergang|leerga
Opleidingsinstituut O.P.B.,www.opb.cc,SITTARD,Engelenkampstraat 86,6131 JJ,1997-01-01,,,,ok,2,2,0,+portfolio
Opleidingsinstituut Thomas,www.instituut-thomas.nl,S-HERTOGENBOSCH,Verwersstraat 51,5211 HT,1995-04-24,,,,ok,2,2,0,+diploma
OptiSec Cyber Security Trainingen B.V.,www.optisec.nl,Woerden,Pelmolenlaan 16,3447 GW,2026-03-06,,,,ok,2,2,0,+beoordeling
Picabia Opleidingen,www.picabia.nl,HENGELO,Deldenerstraat 42,7551AG,2012-08-02,,,,ok,2,2,0,+beoordeling
Pro Education B.V.,www.proeducation.nl,AMSTERDAM,Hoogoorddreef 5,1101 DG,2008-06-12,,,,ok,2,2,0,+diploma
RBO/EVC-dienstencentrum,www.rbo.nl,GRONINGEN,Rozenburglaan 3,9727 DL,2019-04-10,,,,ok,2,2,0,+diploma
Sagènn Groep BV,www.sagenn.nl,Rotterdam,Stieltjesstraat 20,3071 JX,2024-12-18,,,,ok,2,2,0,+diploma
Sagénn Educatie BV,www.sagenn.nl,Rotterdam,Stieltjesstraat 20,3071 JX,2024-12-18,,,,ok,2,2,0,+diploma
Sagénn Re-integratie BV,www.sagenn.nl,Rotterdam,Stieltjesstraat 20,3071 JX,2024-12-18,,,,ok,2,2,0,+diploma
Sayna College (Sayna Skin and Beauty Academie),https://saynacollege.com,Zwijndrecht,Daltonstraat 12,3335 LR,2025-04-15,,,,ok,2,2,0,+portfolio
SRM Communicatie B.V.,www.srm.nl,HILVERSUM,Marathon 7,1213 PD,2019-07-24,,,,ok,2,2,0,+diploma
Start2Move ,www.start2move.nl,Arnhem,Papendallaan 7,6816 VD,2022-01-03,,,,ok,2,2,0,+portfolio
STC Next,https://stcnext.com,Rotterdam,Waalhaven Z.z. 16,3088 HH,2022-01-03,,,,ok,2,2,0,+diploma
Stichting BOB-KOB,https://kob.nl,Zoetermeer,Zilverstraat 69,2718 RP,2024-10-30,,,,ok,2,2,0,+diploma
Stichting Boswijk instituut ,www.boswijkinstituut.nl,Doorn,Beukenrodelaan 2L,3941 ZP,2021-11-22,,,,ok,2,7,5,+studiebelasting +verslag(?:en)? schrijven|s +diploma -certificaat van deelname|b
Stichting Go,www.opleidingscentrum-go.nl, Ede,Zandlaan 29,6717 LN,2020-11-01,,,,ok,2,6,4,+praktijkopdracht +diploma -\bvca\b
Stichting NewCare College,www.newcarecollege.nl,Den Haag,Oder 20,2491 DC ,2025-01-01,,,,ok,2,2,0,+diploma
Technicom,www.technicom.nl,HOOGVLIET,Koddeweg 41,3194 DH,2017-07-20,,,,ok,2,6,4,+praktijkopdracht +diploma -\bvca\b
Technicom Opleidingen BV,www.technicom.nl,"Hoogvliet, Rotterdam",Koddeweg 41,3194 DH,2021-04-19,,,,ok,2,6,4,+praktijkopdracht +diploma -\bvca\b
Tetrix Techniekopleidingen,https://www.tetrixtechniek.nl/,HEERHUGOWAARD,W.M. Dudokweg 66,1703 DC,2020-02-14,,,,ok,2,2,0,+diploma
The Square Mile (holding),www.thesquaremile.nl,Leiden,Johan de Wittstraat 41,2334 AN,2013-04-17,,,,ok,2,2,0,+diploma
The Square Mile Private Sector Training bv,https://www.thesquaremile.nl/,Leiden ,Johan de Wittstraat 41,23340 AN,2021-08-18,,,,ok,2,2,0,+diploma
The Square Mile Public sector Training bv,https://www.thesquaremile.nl/,Leiden,Johan de Wittstraat 41,23340 AN,2021-08-18,,,,ok,2,2,0,+diploma
Trainspot Office Leercentrum,www.trainspot.nl,Bunnik,Regulierenring 2,3981 LB,2016-02-24,,,,ok,2,2,0,+portfolio
Tulp Training B.V.,www.tulptraining.nl,Rotterdam,Zuidplein 16,3083 CW,2023-03-27,,,,ok,2,2,0,+diploma
University of Applied Sciences Europe B.V. (vh Intercollege Business School),https://www.ue-amsterdam.com/nl,AMSTERDAM,Passeerdersgracht 23,1016 XG,2001-02-01,,,,ok,2,2,0,+\boer\b
Use Your Talents B.V.,www.useyourtalents.nl,Breda,Kleine Hil 16,4822 AE,2022-08-31,,,,ok,2,2,0,+meerdaagse leergang|leerga
Van Campen Consulting,https://vancampenconsulting.nl ,Zaltbommel,Hogeweg 37b,5301 LJ,2025-10-02,,,,ok,2,2,0,+diploma
Van Kraaij Educatie,www.vankraaijeducatie.nl,Druten,Van Heemstraweg 53,6651 KH,2020-08-10,,,,ok,2,2,0,+beoordeling
Verbeta B.V.,www.verbeta.nl,Tilburg,Brugstraat 10,5042 SB,2022-04-18,,,,ok,2,3,1,+herkansing -incompany training(?!s?pro
Vers Pers-Open Eyes,www.openeyesinstitute.org,AMSTERDAM,Overhoeksplein 2,1031 KS,2023-01-01,,,,ok,2,5,3,+praktijkopdracht +crkbo -eendaagse|1-?daagse|tweeda
VIPD,www.vipd.nl,Steenwijk ,Stationsstraat 36B,8331 GK,2021-11-22,,,,ok,2,2,0,+beoordeling
Volver Sound Academy,www.volversoundacademy.nl,Tilburg,Frans Mannaertsstraat 14G,5011 EN,2022-03-14,,,,ok,2,2,0,+portfolio
W en L Opleidingen,www.wenlopleidingen.nl,Kampen,Meeuwenplein 5,8261 WB,2022-02-11,,,,ok,2,2,0,+portfolio
Wandelcoach.nl BV ,www.wandelcoach.nl,Grave,Violier 17,5361 MR,2014-06-27,,,,ok,2,2,0,+portfolio
WFT Xperience B.V. ,https://www.wftxperience.nl/,Capelle aan den IJssel ,Rietbaan 2-4,2905 LP  ,2022-05-01,,,,ok,2,2,0,+diploma
WR College,www.wr-college.nl,Purmerend,Impuls 22,1446 WX,2025-01-01,,,,ok,2,2,0,+diploma
Amsterdams ADR Instituut,www.adrinstituut.nl,Diemen,Dalsteindreef 141,1112 XJ,2022-04-04,,,,ok,1,4,3,+studiebelasting +diploma -eendaagse|1-?daagse|tweeda
Bart de Pau Language Courses BV,https://dutchsummerschool.nl,Westerbork,Gagelmaat 4,9431 KT,2022-04-18,,,,ok,1,1,0,+crkbo
Carrièrepoort/True Taste,www.carrierepoort.nl,Rotterdam,Van der Takstraat 28, 3071 LL,2021-11-08,,,,ok,1,2,1,+beoordeling -incompany training(?!s?pro
