Aanbieder,Beoordeelt zelf werk van lerenden,Bewijs (citaat + bron),Particulier,Bron particulier,Moeder / groep,Categorie
BTSG,Ja,"""Het examengesprek wordt op een afgesproken moment ingepland en digitaal afgenomen door twee examinatoren van BTSG"" — https://btsg.nl/veelgestelde-vragen/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,CZO-erkende zorgopleider ouderenzorg en dementie; twee eigen examinatoren
AN-i,Ja,"""Indien je een schriftelijke module of examen niet mocht halen, dan krijg je twee mogelijkheden tot herkansing""; opzet is 8 modules plus examen en diploma — https://www.an-i.nl/opleiding-arbeidsrecht/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Arbeidsrecht-opleider met eigen modules, examen en diploma"
BeeldCentrum,Ja,"""Bij het met goed gevolg afronden van het afstudeerproject ontvang je het diploma van de Opleiding tot Vakfotograaf"" — https://beeldcentrum.nl/afstudeerproject/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Particuliere fotografie-vakopleiding met eigen afstudeerproject en diploma
Edufit,Ja,Eigen MC-toets BKE plus een verbeterplan dat door de eigen trainer wordt beoordeeld — https://edufit.nl/training-toetsen-van-leeruitkomsten-basiskwalificatie-examinering/,Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Docentprofessionalisering hbo (BDB/BKE); klanten zijn hogescholen, dus ook een kanaal"
Van Harte & Lingsma,Nee,"Leiderschaps- en communicatietrainingen met een ""Certificaat van deelname""; gewerkt wordt met psychologische testen, oefeningen en ""feedback van trainers en mededeelnemers"", geen beoordeeld schrijfwerk — https://www.springest.nl/van-harte-lingsma/communicatie-interactie-managementvaardigheden-kim",Ja,"NRTO-lid, particuliere aanbieder",Freia Groep,"Leiderschaps- en communicatietrainingen, ervaringsgericht"
OntwerpAcademie,Ja,"""De presentatie van je beplantingsadvies met aansluitend een criterium gericht interview met twee examinatoren"" — https://www.ontwerpacademie.nl/examens",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Vakopleiding tuinontwerp en tuinarchitectuur, twee eigen examinatoren"
The Lean Six Sigma Company,Nee,"Certificering loopt via externe exameninstanties (LSSA in Nederland, IASSC internationaal), niet via eigen beoordeling. Zie icp.md: examinering bij een externe instantie betekent dat het nakijkbudget daar ligt — https://www.lssa.eu/en/body-of-knowledge/skill-set/lean-six-sigma-black-belt/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Lean Six Sigma belt-trainingen voor professionals
hbo A&A (Hogeschool voor de Accountancy),Ja,"""De toetsing van de onderdelen betreffen hogeschooltentamens"" — https://www.hboaa.nl/opleidingen/bedrijfsadministratie-en-accountancy",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Particuliere hogeschool accountancy en bedrijfsadministratie, eigen tentamens"
Mooivakonderwijs,Ja,"""De vakdocent van de module sluit de module af en beoordeelt (ook tussentijds) de kwaliteit van de verplichte opdrachten."" — https://www.mooivakonderwijs.nl/actueel/alles-wat-je-moet-weten-over-de-vakopleiding-tot-glazenier/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Particulier vakonderwijs ambachten, eigen examencommissie"
NIA Academie,Ja,"""De examencommissie bestaat uit een gecommitteerde uit de praktijk en uit een docent."" — https://www.nia-academie.nl/over-nia/nia-portfolio-examen-diploma",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Particuliere interieuropleiding met eigen portfolio-examen
King nascholing,Ja,"""Als er sprake is van een eindtoets, die na afloop van de cursus moet worden ingeleverd en/of beoordeeld, kan het dus wat langer duren."" — https://www.kingnascholing.nl/faq",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Geaccrediteerde nascholing zorgprofessionals; eigen docent beoordeelt
Esoterra,Ja,"""Examen met eindopdracht"" — https://www.esoterra.nl/product/opleiding-massagetherapeut-3-jaar/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Complementaire zorg-opleidingen met eigen eindexamen
Inholland Academy (Contractgroep Inholland),Ja,"""een certificaat of (post-hbo) diploma van Inholland Academy"", met eigen examencommissie — https://www.inholland.nl/academy/over-inholland-academy/certificering-en-kwaliteit/",Deels,Private tak van een publiek bekostigde hogeschool; inkoop kan langs de moeder lopen,Hogeschool Inholland (bekostigd),"[AL IN CLOSE - Nurturing, niet koud benaderen] Commerciele tak van bekostigde hogeschool Inholland; geen koude outreach, Inholland staat al in Close"
Schouten & Nelissen,Ja,"""Heb je de Opleiding tot mediator succesvol afgerond en alle bijbehorende opdrachten ingeleverd die aan de gestelde eisen voldoen? Dan ontvang je het Schouten & Nelissen-diploma."" — https://www.sn.nl/opleidingen/beroepsopleidingen/opleiding-tot-mediator",Ja,"NRTO-lid, particuliere aanbieder",Schouten Company B.V.,Groot particulier trainings- en beroepsopleidingsinstituut (staat in NRTO onder tien rechtspersonen)
SDO Hogeschool voor Moderne Bedrijfskunde,Ja,"OER 2025-2026 art. 3.6: ""Examinator beoordeelt op basis van vakinhoudelijke kennis de afgenomen examens (...) de examinator wordt aangesteld door de examencommissie"" — https://sdo-hogeschool.nl/wp-content/uploads/2025/11/OER-SDO-Hogeschool-onderwijs-en-examenregeling-2025-2026-BBA-voltijd-20251029.pdf",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"NVAO-geaccrediteerde hbo bedrijfskunde, deeltijd; deelt de OER met IBHS"
IBHS,Ja,"OER art. definitie Examinator: ""Degene die conform artikel 7.12c WHW belast is met het ontwikkelen en/of afnemen en/of beoordelen van tentamens en is benoemd door de examencommissie"" — https://www.ibhs.nl/wp-content/uploads/2025/11/OER-SDO-Hogeschool-onderwijs-en-examenregeling-2025-2026-BBA-voltijd-20251029.pdf",Ja,"NRTO-lid, particuliere aanbieder",Zit vast aan SDO Hogeschool,"Particuliere hbo business school Amsterdam; voert de OER van SDO, dus een gesprek kan beide dekken"
Variva Edu Academy,Ja,"""Examinering met waarde. De examens sluiten direct aan op situaties uit de beroepspraktijk (...) opdrachten en beoordelingen die aansluiten op de praktijk"" — https://www.variva.nl/onderwijsassistent/ (crebo-erkend, eigen examinatoren en examencommissie)",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Erkende particuliere mbo-opleider kinderopvang, onderwijs en zorg"
U-Consultancy,Ja,"""Alle modules worden afgesloten met een examen en portfolio-opdrachten via e-learning (...) een theoretische toets en een eindpresentatie van de eindopdracht voor de examencommissie"" — https://www.uconsultancy.nl/opleidingen/gespecialiseerd-verpleegkundige-dermatologie/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Opleider dermatologie en wondzorg voor zorgprofessionals
Bedrijfskunde Opleiding Utrecht,Ja,"""bij je eindbeoordeling een gewogen gemiddelde score van alle opdrachten hebt van hoger dan of gelijk aan 7,5"" — https://bedrijfskundeopleidingutrecht.nl/praktische-informatie/afstuderen-met-eervolle-vermelding/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Post-hbo bedrijfskunde en projectmanagement voor professionals
GOmotive,Ja,"""Je theorie- en praktijkopdrachten, documentatie, resultaten (...) staan overzichtelijk in je eigen account""; rijkserkend mbo-diploma op alle niveaus — https://gomotive.nl/",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Crebo-erkende particuliere mbo-opleider bedrijfsautotechniek
CIVAS,Ja,"Eigen docenten corrigeren en cijferen alle huiswerkopdrachten: ""Stuur jij je huiswerk in per e-mail dan ontvang je uiterlijk binnen drie werkdagen de correcties van je docent retour."" — https://www.civas.nl/over-uw-studie/huiswerk-en-begeleiding/ ; diploma alleen als ""alle huiswerkopdrachten zijn ingeleverd en beoordeeld met minimaal een 5,5 of hoger"" — https://www.civas.nl/over-uw-studie/examens",Ja,NRTO-lid,Civas B.V. (ook Civas Belgie),"Thuisstudie-opleider coaching, voeding en psychologie; eigen vakdocenten corrigeren alle opdrachten"
Stichting HVNA,Ja,"""Gedurende de hele opleiding toetst de HVNA jouw kennis en ervaring met: tentamens, kennistoetsen, casuspresentaties (in groepsverband), verslagen van afgenomen anamneses, werkstukken."" plus reflectiescriptie — https://www.hvna-opleidingen.nl/natuurgeneeskunde/toetsting-en-afstuderen/",Ja,NRTO-lid,Stichting HVNA,"Vierjarige hbo-niveau opleiding natuurgeneeskunde, eigen toetsing, werkstukken, portfolio en scriptie"
Welkin Kinesiologie College,Ja,"""Jaar 4 - Afstuderen & ondernemerschap. Je start je eigen praktijk, doet praktijkonderzoek en schrijft een onderzoeksrapport en rondt af met een eindexamen."" plus ""Intervisie, supervisie, theorietoetsen en competentieverslag"" — https://www.welkinkinesiologiecollege.nl/beroepsopleiding/over-de-opleiding/",Ja,NRTO-lid,Zelfstandig,"Vierjarige beroepsopleiding kinesiologie, eigen toetsen, competentieverslagen en eindexamen"
Media en Maatschappij (Stichting Reklame Rakkers),Ja,"""Het programma wordt afgesloten met een examen dat wanneer het succesvol wordt afgerond, recht geeft op het officiele Nationaal MediaCoach Certificaat. Het examen bestaat uit een theoretisch en een praktijkdeel."" — https://www.nomc.nl/?view=article&id=711",Ja,NRTO-lid,Nationale Academie voor Media en Maatschappij,"Nationale Opleiding MediaCoach; eigen examen en certificaat, deelnemers schrijven een mediawijsheid-beleidsplan"
Home of Impact,Ja,"""Aan het einde van de leergang werk je aan een praktijkgerichte afstudeeropdracht. (...) Na succesvolle afronding ontvang je het erkende post-hbo certificaat Leergang Ontwikkeling Mens en Organisatie."" — https://www.homeofimpact.nl/opleidingen/leergang-ontwikkeling",Ja,NRTO-lid,Zelfstandig,"Post-hbo leergang mens en organisatie, eigen afstudeeropdracht en certificaat; bewijs is opleidingspagina"
Kans Kwadraat,Ja,"""Eindopdracht maken en inleveren"" en ""Aanwezigheid is verplicht voor certificering"" — https://www.kanskwadraat.nl/trainingen/opleiding-pedagogiek-0-tot-13-jaar-voor-zijinstromers-kinderopvang/",Ja,NRTO-lid,Zelfstandig,"Kinderopvang-opleider, FCB-erkend certificaat; eindopdracht mede beoordeeld door de pedagogisch coach van de werkgever"
BusinessCoach Nederland,Ja,"""Je studiebegeleider helpt je bij het opbouwen van een sterk portfolio, waarin je laat zien hoe je de theorie toepast in echte praktijksituaties. Je krijgt gerichte feedback"" plus eigen schriftelijk theorie-examen en mondeling examen — https://www.businesscoach.nl/aansluiten/register-opleiding-businesscoach/",Ja,NRTO-lid,Zelfstandig,"Post-hbo Register Business Coach (CPION); portfolio + eigen examens, eigen studiebegeleiders geven feedback"
Brave Minds,Ja,"""rijkserkende mbo-opleidingen"" plus eigen vacature ""Freelance Examinator"" op de eigen site — https://www.brave-minds.nl/",Ja,NRTO-lid,MBOzaak / Brave Minds BV,"Particuliere mbo-opleider (BOL 18 mnd + deeltijd), niveau 4; eigen examinatoren, bewijs indirect"
Synergos,Nee,"Blijkt de Nederlandse Vakopleiding voor Haptonomie, geen facilitator-opleiding. Post-hbo haptonomie (CPION/SPHBO, VVH, GAT-register), certificaat ""Haptonomisch Begeleider"". Valt onder de uitgesloten groep zorg/psychologie/postmaster in icp.md marktgroep 10 — https://synergos.nl/vakopleiding/",Ja,NRTO-lid,Zelfstandig,"Post-hbo haptonomie; overgeslagen op de zorg-uitsluiting, net als ISPP en SOMT"
Freia Groep,Ja,"Moeder van 10 opleidingsmerken; onderliggende merken beoordelen zelf (zie AOG en NIVE). ""De opleidingsbedrijven van Freia Holding b.v. zijn AOG School of Management, Comenius, Emmius School voor werk en zingeving, Instituut voor Sport- en PrestatiePsychologie, TSM Business School, TSM Europe, Horizon | The backbone company, Van Harte & Lingsma en NIVE Opleidingen"" — https://freia.nl/algemene-voorwaarden/",Ja,"Freia Holding b.v., 30 jaar, voortgekomen uit de Rijksuniversiteit Groningen",Freia Groep (moeder),"Opleidingsgroep hoogopgeleide professionals; ingang voor een groepsbrede deal, smaak 2. Bewezen nakijkvolume bij AOG, TSM en NIVE"
AOG School of Management,Ja,"""Hierin werk je in groepen van maximaal 10 personen aan jouw eindopdracht."" plus ""Naast deze gezamenlijke bijeenkomsten heb je ook 8 uur individuele begeleiding van je kerndocent. De Thesis wordt afgesloten met een mondeling examen (verdediging)."" en ""Na een positieve beoordeling van de examencommissie ontvang je jouw Masterdiploma."" — https://www.aog.nl/opleiding/professional-master-strategy-leadership-msc/",Ja,"NRTO-lid, particuliere academische opleider",Freia Groep,"Academisch opleidingsinstituut, professional masters (MSc, 15 EC thesis) en leergangen; eigen examencommissie en kerndocenten"
NIVE Opleidingen,Ja,"""Je wordt op twee manieren getoetst: via schriftelijke toetsen en praktijkgerichte opdrachten."" — https://niveopleidingen.nl/opleiding/professional-controller-pc/ ; OER definieert de ""Corrector: degene die een kandidaat beoordeelt op kennis, inzicht en vaardigheden bij schriftelijke examens""",Ja,"NRTO-lid, CPION-erkend, SHBO-diploma",Freia Groep,"Controllersopleidingen (HOFAM, Professional Controller); eigen correctoren en schriftelijke toetsen"
TMO Fashion Business School,Ja,"NVAO-rapport uitgebreide opleidingsbeoordeling: ""De scripties zijn goed opgezet, van behoorlijk niveau en thematisch relevant voor de modebranche"" en de toegekende cijfers komen overeen met de oordelen van het panel; eigen Examencommissie en Onderwijs- en examenreglement — https://www.tmo.nl/over-tmo/adviesorganen/",Ja,"Privaat hbo mode en business; European Fashion Business School TMO/Detex B.V., KvK 30234957",Calder Holding / Capabel Onderwijs Groep,"Particuliere hogeschool mode/retail; scriptie in semester 7, eigen examencommissie. Sterke fit"
Nederlands Compliance Instituut,Ja,"""De examencommissie is verantwoordelijk voor de organisatie en kwaliteit van de examens. De leden worden benoemd door de directie van het NCI."" Let op: ""Voor enkele toetsen, waaronder de zelfstudietoets en eindtoetsen van LCO en LCP, is EUREKA als examinator benoemd."" — https://compliance-instituut.nl/examenreglement",Ja,NRTO-lid via Lindenhaeghe Groep,Certify360 EdTech Group (Lindenhaeghe Groep),"Leergangen compliance, integriteit en witwasbestrijding; eigen examencommissie plus praktijkopdracht, meerkeuzetoetsen extern"
WWZ Academie,Ja,"""Bij de WWZ Academie beoordelen Petra en Anja de opdrachten die je instuurt. Een certificaat krijg je als alle opdrachten voldoende zijn gemaakt."" plus ""Deelname aan de Proeve van Bekwaamheid is mogelijk wanneer je alle opdrachten van je opleiding hebt ingeleverd en deze door de docenten akkoord zijn beoordeeld."" — https://wwz-academie.nl/opleidingen/proeve-van-bekwaamheid",Ja,NRTO-lid via Lindenhaeghe Groep,Certify360 EdTech Group (Lindenhaeghe Groep),"Online opleidingen Wmo- en jeugdconsulenten; veel praktijkopdrachten, met de hand nagekeken door twee docenten. Klein maar zuivere fit"
Certify360 EdTech Group,Ja,"Moeder van 10 opleidingslabels: ""Education360 B.V. - Lindenhaeghe B.V. - Lindenhaeghe Examens B.V. - Lindenhaeghe International BV - Lindenhaeghe Opleidingen B.V. - FOI B.V. - IVA Opleidingen - CS Opleidingen B.V. - WWZ Academie B.V. - LearnCare Academy B.V. - Nederlandse Compliance Instituut B.V."" — https://www.nrto.nl/leden/lindenhaeghe-groep-bv/ ; nakijkvolume bewezen bij WWZ Academie en NCI",Ja,"NRTO-lid, private equity (Capital A)",Certify360 EdTech Group (moeder),"Opleidingsgroep compliance, finance, vastgoed en sociaal domein; groepsbrede ingang, smaak 2"
Intop Zorgsector,Ja,"""De onafhankelijke examencommissie Medische Techniek houdt toezicht op een correcte gang van zaken met betrekking tot het voorbereiden, uitvoeren en beoordelen van de examens Medische Technologie MTA, MTB en MTC."" — https://intop.nl/over-intop/examencommissie/",Ja,NRTO-lid via Eduro Groep,Eduro Groep,"Opleider medisch technici voor ziekenhuizen (MTA/MTB/MTC); eigen examencommissie, curriculum in opdracht van de VZI"
Winc Academy,Ja,"""To progress to the next module, you complete final assignments that we review."" en ""You will receive clear feedback from an instructor, and together we will create a plan to improve your final project."" — https://www.wincacademy.nl/en/veelgestelde-vragen",Ja,Overgenomen door De Complementair Groep (2 september 2024),De Complementair Groep,"Asynchrone zelfstudieopleider IT, data-analyse en online marketing; zeer kansrijk, opdracht-per-concept model. Citaat nog halen"
LearnCare Academy,Ja,"""Het examen bestaat uit 2 onderdelen; een theorie-examen met multiple choice vragen en een casus en een schriftelijke opdracht: de Sociale Kaart."" Eigen examen op hbo-niveau, deelnamecertificaat bij minimaal een 6 — https://learncare.nl/opleiding-schuldhulpverlener-nen-8048-hbo-kiwa-diploma-schuldhulpverlening",Ja,NRTO-lid via Lindenhaeghe Groep,Certify360 EdTech Group (Lindenhaeghe Groep),"Sociaal-financiele opleider (schuldhulpverlening NEN 8048, budgetcoach); scriptie-onderdeel maakt het kansrijk"
Hogeschool Dirksen,Ja,"""Na een goede beoordeling voor je eindopdracht en scriptie ontvang je je hbo-diploma."" plus eigen examens: ""Deze examens vinden iedere maand plaats in het trainingscentrum in Elst"" — https://hogeschooldirksen.nl/praktische-zaken/examens/",Ja,"NVAO-geaccrediteerde particuliere hogeschool, NRTO-lid",Zelfstandig,"Hbo techniek en ICT (bachelor Technische Informatica, Ad Industriele Automatisering); eigen examenbureau, scriptie plus eindopdracht"
Business School Nederland,Ja,"""Viva Voce; mondelinge verdediging van je dissertation"" na de Action Learning afstudeeropdracht waarin ""je een complex strategisch vraagstuk oplost voor jouw eigen organisatie"" — https://www.bsn.nl/opleidingen/mba/action-learning/",Ja,"Particuliere business school, ACBSP- en FIBAA-geaccrediteerd",Business School Netherlands,"Action Learning MBA (hbo-master); dissertation plus verdediging. Nam in maart 2025 Business School Notenboom over, die staat al op de lijst"
TIAS School for Business and Society,Ja,"NVAO/QANU-rapport Executive Master of Finance and Control: ""Na de tweede bijeenkomst dient het onderzoeksvoorstel door de kringbegeleider en een tweede examinator te worden goedgekeurd."" en ""Verder waardeert het panel dat het vier-ogenprincipe bij zowel de beoordeling van het onderzoeksvoorstel als de thesis wordt gehanteerd."" — https://publicaties.nvao.net/5a3baa8c93757_005654%20rapport%20TIAS%20wo-ma%20Executive%20Master%20of%20Finance%20and%20Control.pdf",Ja,Particuliere wo-business school (Tilburg University en TU Eindhoven),Zelfstandig,"Executive masters (Finance and Control, Marketing, MBA); thesisvolume vrijwel zeker aanwezig, alleen citaat ontbreekt"
Hogeschool voor Toegepaste Filosofie (HTF),Ja,"NVAO-rapport hbo-ba Toegepast Filosoof (30-11-2019): ""Door de examencommissie benoemde examinatoren van de HTF zijn verplicht om bij het ontwerpen van hun toetsen gebruik te maken van de toetsmatrijs en toetsmatrix."" en ""In zogenaamde kalibreersessies wordt door de examencommissie de kwaliteit van de afstudeerwerken en de realisatie van de algemene en beroepsspecifieke competenties beoordeeld."" — https://publicaties.nvao.net/5ebd0e6d14817_008671%20advies%20HTF%20hbo-ba%20Toegepast%20Filosoof.pdf",Ja,NVAO-geaccrediteerde particuliere hogeschool,Zelfstandig,"Deeltijd hbo-bachelor en master toegepaste filosofie, Utrecht; filosofie is per definitie schrijfwerk, hoge kans op Ja"
SRH Haarlem University of Applied Sciences,Ja,"NVAO-rapport B Creative Media (toets na drie jaar, 2025): ""All assessments are designed by examiners, who the Examination Board appoints."" en ""Lecturers share the proposed assessment with another examiner or the Chief Academic Officer and lecturers or members of the Examination Board sit in with assessments to implement the four-eyes principle."" — https://publicaties.nvao.net/prd/AV-2855_20250409_Rapport_Report%20B%20Creative%20Media%20SRH.pdf",Ja,"Particuliere hogeschool, Duitse SRH-groep, sinds september 2022 in NL",SRH Hochschulen (Duitsland),"Engelstalige bachelors Business Psychology, Digital Transformation, Creative Media; modulair een vak tegelijk"
Hogeschool Scheidegger,Ja,"NVAO-rapport hbo-ba Sociaal Pedagogische Hulpverlening: ""Examinatoren zijn door NCOI Groep zorgvuldig geselecteerd, geinstrueerd en getraind in de beoordelingssystematiek van Scheidegger en hun inzet wordt geevalueerd aan de hand van door hen beoordeeld werk."" plus ""Afstemming over de beoordeling van werkstukken vindt periodiek plaats tijdens kalibreersessies, waaraan het kernteam en examinatoren deelnemen, onder verantwoordelijkheid van de examencommissie."" — https://publicaties.nvao.net/5f0c330275ee3_007389%20advies%20Scheidegger%20hbo-ba%20Sociaal%20Pedagogische%20Hulpverlening.pdf",Ja,NVAO-geaccrediteerde particuliere hogeschool,Salta Group / NCOI Groep,Hbo-bachelor SPH; werkt volledig op het toetssysteem van NCOI Groep. Nam studenten van NHA over. Deal loopt via Salta
3Masters Opleidingen,Ja,"BOTO 1-pagina: ""Exam via MS Teams, Surveillant from 3Masters Opleidingen"", ""Results within 3 working days""; MOTO-eindtoets is een ""layered case study & presentation"" die 3Masters zelf beoordeelt. Langlopend (BOTO ca. 2 mnd, MOTO 56 PE-punten). — https://www.3masters.nl/opleiding/boto-1/",Ja,CRKBO-geregistreerd,Zelfstandig,Financieel/trust-sector vakopleider (CRKBO 2026-08-05)
Conducto Opleidingen BV,Ja,"Post-hbo Inkoop & Aanbesteden: ""Tijdens de leergang worden twee huiswerkopdrachten ingeleverd voor een cijfer"" + ""een digitaal openboekexamen van drie uur""; Conducto examineert zelf, PHBO-stichting valideert alleen. 7 lesdagen over 5-8 mnd. — https://inkoopjobs.nl/opleidingen/post-hbo-inkoop-aanbesteden-2/",Ja,CRKBO-geregistreerd,Zelfstandig,Post-hbo inkoop & aanbesteden (CRKBO 2026-08-05)
PostMDopleidingen,Ja,"""Zo sluiten alle modules af met een praktijkopdracht."" + ""Bij voldoende resultaat ontvang je het diploma Middenmanagement van PostMDopleidingen."" 27 bijeenkomsten + 250 studie-uren; eigen docenten beoordelen, eigen diploma. — https://www.postmdopleidingen.nl/opleidingen/bedrijfsleven/middenmanagement",Ja,CRKBO-geregistreerd,Zelfstandig,Post-hbo management/bedrijfskunde (CRKBO 2026-08-05)
MKPC Beroepsopleidingen B.V.,Ja,"""geheel onafhankelijk en door Cedeo gecertificeerd opleidings- en exameninstituut"" (https://mkpc.nl/veelgestelde-vragen/); neemt examens zelf af, Green/Black Belt-trajecten meerdaags met eigen verbeterproject. Let op: Lean-belt, korte theorie + project, borderline poort 0b.",Ja,CRKBO-geregistreerd,Zelfstandig,"Lean/Lean Six Sigma opleider, eigen exameninstituut (CRKBO 2026-08-05)"
Beldman Opleidingen,Ja,"""Theoretische kennis en vaardigheden worden gedurende de cursus getoetst."" + certificaat na ""met goed gevolg"" afronden; eigen docenten toetsen. Basiscursus CGT: 10 cursusdagen + 9 online-modules, 100 werkuren. — https://beldmanopleidingen.nl/cursussen/basiscursus-cognitieve-gedragstherapie-cgt-100-uur/",Ja,CRKBO-geregistreerd,Zelfstandig,"CGT-nascholing GGZ-professionals, VGCt-geaccrediteerd (CRKBO 2026-08-05)"
Breederzorg Thuiszorg & Breederzorg Opleidingen B.V.,Ja,"""officiele en wettelijk erkende BBL MBO opleidingen bij DUO ... voorzien van een CREBO nummer"" + ""Zowel de basisvakken als de keuzedelen, sluit je af met een examen""; eigen examencommissie. Verpleegkundige nv4 duurt 24 mnd. — https://www.breederzorg.nl/opleidingen/verpleegkundige/",Ja,CRKBO-geregistreerd + eigen CREBO (erkende particuliere mbo),Zelfstandig,Erkende particuliere BBL MBO-zorgopleider (CRKBO 2026-08-05)
"De Broedplaats, opleidingen psychosynthese",Ja,"Geaccrediteerde post-HBO beroepsopleiding counselor/therapeut met eigen beoordeeld schrijfwerk: ""een casusbeschrijving ... waarin eigen proces en praktijkervaring samen komen"", ""Groeps- en persoonlijke verslagen""; 21 lesdagen, onderdeel 3-jarig traject, eigen diploma. — https://broedplaats.academy/jaar2/",Ja,CRKBO-geregistreerd,Zelfstandig,Psychosynthese counselor/therapeut post-HBO (CRKBO 2026-08-05)
Droomritme Opleidingen BV,Ja,"Eigen CRKBO-beroepsopleiding tot Droomritmecoach met eigen toetsing: kennisblokken met kennistoets, praktijkblokken met examen; ""gratis herkansing bij kennistoetsen en praktijkexamens"". Langlopend: ""een jaar lang aan de slag"". Eigen certificering. — https://droomritme.nl/opleidingtraining/droomritmecoach-0-10-jaar/",Ja,CRKBO-geregistreerd,Zelfstandig,"Slaapcoach-opleiding, eigen methode/examen (CRKBO 2026-08-05)"
ExpertCollege-Nightingale Instituut,Ja,"Beoordeelt zelf via eigen portfolioplatform ExpertFolio: ""Hierin komen beoordeling, feedback en voortgang samen binnen EPA-gestuurd onderwijs"" + ""Vastleggen en beoordelen van EPAs""; eigen CAT-scholing ""het schrijven en beoordelen van een Critically Appraised Topic"". Verpleegkundige vervolgopleiding acute zorg, eigen certificaat. — https://enilearning.nl",Ja,CRKBO-geregistreerd,Zelfstandig,Verpleegkundige vervolgopleiding acute zorg (CRKBO 2026-08-05)
NIPA Eindhoven B.V. (NIPA Opleidingen / Zorgdidact),Ja,"Erkend MBO-4 diploma (doktersassistent, verzorgende IG, triagist): kosten ""inclusief studiebegeleiding, toetsen en examens""; NIPA reikt zelf het door OCW erkende MBO-4 diploma uit en neemt toetsen/examens zelf af. Avondopleiding 17-18 mnd, 58 lesweken. — https://www.nipaopleidingen.nl/doktersassistenten-avondopleiding/",Ja,CRKBO-geregistreerd + erkend MBO-4,Zelfstandig,Erkende particuliere MBO-4 zorgopleider (CRKBO 2026-08-05)
Opleidingen Land van Rouw,Ja,"Post-HBO rouwbegeleider/rouwtherapeut met eigen examinering: ""De CPION-geaccrediteerde Post-HBO opleiding"" + ""Terugblik examen juni 2026""; CPION accrediteert maar examineert niet, eigen examen en eindopdracht. — https://www.landvanrouw.nl",Ja,CRKBO-geregistreerd,Zelfstandig,Post-HBO rouwbegeleiding/-therapie (CRKBO 2026-08-05)
Opleidingsinstituut PPO,Ja,"Postmaster BIG (GZ-psycholoog, orthopedagoog-generalist, psychotherapeut, klinisch psycholoog), 2-4 jaar, eigen examencommissie: ""De examencommissie beoordeelt of een opleideling voldoet aan alle eindtermen, zoals vastgesteld in de onderwijs- en examenregeling (OER)"". — https://www.ppo-opleidingen.nl",Ja,CRKBO-geregistreerd,Zelfstandig,Postmaster psychologie/pedagogiek BIG (CRKBO 2026-08-05)
Nederlands Talen Instituut,Ja,"Poort 0 = Ja: NTI is rijkserkend particulier opleider die wettelijk erkende mbo-diploma's uitreikt. Citaat: ""NTI is door de Minister van Onderwijs, Cultuur en Wetenschap ... aangewezen als erkende"" instelling en biedt ""wettelijk erkende mbo-opleidingen"" (nti.nl/mbo). Sector-fit STERK: MBO Onderwijsassistent, Doktersassistent, Sociaal Werker, Verzorgende IG, plus administratie/economie. Veel verslagen, portfolio's, geschreven werk. Duur ruim > 2 weken (meerjarige mbo-trajecten). — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Salta Group (sinds 2014),"[AL IN CLOSE - Nurturing via moeder, niet koud benaderen] Zorg/welzijn/onderwijs/administratie (mbo)"
Instituut Broers BV,Ja,"Poort 0 = Ja: rijkserkend particulier mbo-college met eigen examencommissie. Citaten: ""Als rijkserkend mbo-college is Broers mbo-college gespecialiseerd in de beroepsbegeleidende leerweg (BBL)"" en ""De examencommissie bestaat uit 5 leden waarvan 4 extern. Zij houden toezicht op de borging van kwaliteit"" (broersmbocollege.nl/over-ons/). Sector-fit STERK/gemengd: onder meer (Directie)secretaresse, Managementassistent, ICT-beheer, Onderwijsassistent, Pedagogisch werk kinderopvang, Bedrijfsadministratie. Veel verslagen/portfolio's. Meerjarige trajecten. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Secretarieel/management/pedagogisch/ICT (mbo)
