Aanbieder,Beoordeelt zelf werk van lerenden,Bewijs (citaat + bron),Particulier,Bron particulier,Moeder / groep,Categorie
Berghauser Pont Academy,Onbekend,"""Na afloop diploma bij slagen voor examen"" — https://www.berghauserpontacademy.nl/aanbod/cl4155/kwaliteitsborging-bouwen/ . Er is een examen, maar niet wie het beoordeelt.",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Juridische cursussen omgevingsrecht en bouw
Beroepsopleiding Personenschade,Onbekend,"Eigen examenstructuur aanwezig (Reglement Examencommissie, Examenreglement Licht Letsel, Examenreglement MZL) — https://www.beroepsopleiding-personenschade.nl/. Geen citaat over beoordeling van geschreven werk, subpagina's gaven 404.",Onbekend,"Waarschijnlijk particulier, geen bron gevonden",NIVRE-geaccrediteerd,Branche-opleiding letselschadebehandelaars
Bit Academy,Onbekend,Geen citaat gevonden over wie examineert; site noemt alleen coaching en mbo-partnerinstellingen — https://www.bit-academy.nl/mbo,Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Tech-opleider; mbo-diplomering via partnerinstellingen
Bongers & Partners,Onbekend,Geen citaat over examen of beoordeling gevonden — https://bongers-partners.nl/opleidingen/,Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Coachopleidingen transactionele analyse en positieve psychologie
Business School Notenboom,Onbekend,Nog te checken,Onbekend,Nog te checken,Business School Netherlands (overname maart 2025),"Privaat hbo business, plus vmbo-tl/havo/vwo en mbo"
Coniche,Onbekend,Nog te checken,Onbekend,Nog te checken,Zelfstandig,Post-hbo klantcontact en advies
EuroCollege Hogeschool,Onbekend,Nog te checken,Onbekend,Nog te checken,Zelfstandig (EuroCollege Beheer B.V.),Privaat hbo en mbo
Ferocia,Onbekend,"""Tijdens de opleiding voer je een eigen operational audit uit binnen je organisatie, waarbij je intensief wordt begeleid door een ervaren docent."" — https://www.ferocia.nl/opleiding-operational-auditing. Begeleiding staat vast, beoordeling niet expliciet.",Ja,"EUR 7.450 vrijgesteld van btw, CRKBO-erkend — zelfde pagina",Zelfstandig,"Postbachelor-opleider audit, risk en control"
Fiscaal Studie- en documentatie Centrum (FSDC),Onbekend,"""De examens worden georganiseerd in samenwerking met de deelnemende hogescholen"" — https://fsdc.nl/examen-fiscaal-adviseur/ . Onduidelijk wie nakijkt.",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Fiscale hbo-opleider; examens samen met hogescholen
ICM Opleidingen en Trainingen,Onbekend,Nog te checken,Onbekend,Nog te checken,Zelfstandig,Private opleider/trainer
IVA Business School,Onbekend,Nog te checken,Onbekend,Nog te checken,AcadeMedia (Zweden),Privaat mbo en hbo automotive/nautisch/transport
Keulseweg,Onbekend,"Geen citaat over toetsing of examinering vindbaar, studiegids alleen op aanvraag — https://www.keulseweg.nl/aanbod.php",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Post-hbo equine assisted coaching en therapie
Libereaux,Onbekend,"""een assessor je portfolio beoordeelt"" en ""De examencommissie van de onderwijsinstelling bepaalt of jij vrijstellingen ontvangt"" — https://libereaux.nl/evc/ . Onduidelijk of de assessoren van Libereaux zelf zijn.",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"EVC-aanbieder, portfoliovalidering in plaats van klassieke opleiding"
Lindenhaeghe,Onbekend,Nog te checken,Onbekend,Nog te checken,Zelfstandig,"Opleider finance, DSI-geaccrediteerd"
LSBL,Onbekend,"""Het praktijkexamen wordt afgenomen in de vorm van een mondeling praktijkgesprek op de werkplek"" — https://www.lsbl.nl/lmt/ . Wie beoordeelt staat er niet.",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Opleider levensmiddelen- en voedingsindustrie
Nederlands Compliance Instituut,Onbekend,"Verkoopt ""examencodes en herbeoordelingen"" (https://compliance-instituut.nl/opleidingen/examencodes), maar de DSI Integriteitsmodule sluit af met ""30 meerkeuzevragen"" (https://compliance-instituut.nl/opleidingen/e-learning-dsi-integriteitsmodule/). Geen bewijs van beoordeeld geschreven werk gevonden.",Ja,"Commerciele webshop met betaalopties, geen publieke bekostiging — https://compliance-instituut.nl/over-ons",Zelfstandig,"Particuliere opleider compliance, AML en integriteit; DSI-geaccrediteerd"
Nevi,Onbekend,"Wel geschreven examenwerk: ""een combinatie van een examenopdracht en een mondeling examen"" (https://nevi.nl/examens/praktijkgericht-examen-nevi-1-publiek). Wie beoordeelt staat alleen in het examenreglement-PDF, dat niet laadde.",Ja,Beroepsvereniging met betaalde opleidingen en examens — nevi.nl/opleidingen,Zelfstandig,"Beroepsvereniging en opleider inkoop, contract- en supply management"
Nive Opleidingen (HOFAM),Onbekend,"Toetsen per vak, diploma na alle vakken voldoende (https://niveopleidingen.nl/opleiding/hofam-financial-control/). Toetsvorm (geschreven werk of meerkeuze) niet gespecificeerd.",Ja,EUR 7.445 inclusief examenkosten — zelfde pagina,Zelfstandig,Controllersopleider (HOFAM) voor finance-professionals op hbo-niveau
NSO-CNA Leiderschapsacademie,Onbekend,Rapport noemt examinatoren en meesterproeven maar geen expliciete zin over wie beoordeelt — https://publicaties.nvao.net/5a96cc47a5d59_006286%20rapport%20NSO%20hbo-ma%20Educational%20Management.pdf,Ja,Alle opleidingen NIET_BEKOSTIGD in het DUO-erkenningenregister — https://onderwijsdata.duo.nl/dataset/overzicht-erkenningen-ho (1 opleiding),Zelfstandig,"Master schoolleiderschap; deelnemers zijn schoolleiders, dus dubbele ingang"
SBO (Studiecentrum Bedrijf en Overheid),Onbekend,Nog te checken,Onbekend,Nog te checken,Euroforum BV / Cegos Group (Frankrijk),Executive opleider en congresorganisator
The Lean Six Sigma Company,Onbekend,"""Twee expert reviews van jouw project"" — https://www.theleansixsigmacompany.com/nl/green-belt-training/ . Wie die reviewers zijn staat er niet.",Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,Lean Six Sigma belt-trainingen voor professionals
The New School for Information Services,Onbekend,Nog te checken,Onbekend,Nog te checken,Zelfstandig,Privaat hbo Amsterdam (Marketing Communicatie)
TMO Fashion Business School,Onbekend,Nog te checken,Onbekend,Nog te checken,"Zelfstandig (European Fashion Business School TMO/Detex B.V., KvK 30234957)",Privaat hbo mode en business
University of Applied Sciences Europe (UE Amsterdam),Onbekend,Nog te checken,Onbekend,Nog te checken,Global University Systems (24+ instellingen),Privaat hbo business (voorheen Intercollege Business School)
Unknown University of Applied Sciences,Onbekend,Nog te checken,Onbekend,Nog te checken,Unknown Group,Privaat hbo ondernemerschap (voorheen Global School for Entrepreneurship)
Van Harte & Lingsma,Onbekend,Geen citaat over toetsing of beoordeling op de eigen site — https://www.vanhartelingsma.nl/trainingen/het-pad-van-leiderschap/leider-in-jou/,Ja,"NRTO-lid, particuliere aanbieder",Zelfstandig,"Leiderschaps- en communicatietrainingen, ervaringsgericht"
Webster University (Leiden),Onbekend,Nog te checken,Onbekend,Nog te checken,Webster University (VS),Privaat Amerikaans model
